Wavelength,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
8.006405124,0.00014562,9.71E-05,0.00155328,0.00019416,1.00E-07,2.80E-07,0,0.0002
8.012820513,-5.22E-05,-0.0003129,0.00067795,-0.0003129,6.00E-08,2.60E-07,0,0.0002
8.019246191,0.00022336,-0.00022336,-0.00039088,-0.00039088,8.00E-08,4.00E-08,0,0.0002
8.025682183,0.00089325,0.00029775,-0.0005955,-0.00017865,6.00E-08,-1.40E-07,0,0.0002
8.032128514,0.00132804,0.00069564,0.00050592,-0.00012648,-1.20E-07,-1.80E-07,0,0.0002
8.038585209,0.0012024,0.0008684,0.001336,0,-1.80E-07,4.00E-08,0,0.0002
8.045052293,0.00119204,0.00063108,0.0007012,0.00014024,-2.00E-08,1.80E-07,0,0.0001
8.051529791,0.00131742,0.00036595,-0.00029276,7.32E-05,2.00E-08,2.10E-07,0,0.0001
8.058017728,0.00144362,0.00022794,-0.00030392,0.00015196,-1.00E-08,1.20E-07,0,0.0001
8.064516129,0.00180389,0.00015686,0.00039215,-7.84E-05,-2.00E-08,7.00E-08,0,0.0001
8.07102502,0.00209352,0.00088572,0.00096624,-0.0004026,2.00E-08,2.60E-07,0,0.0002
8.077544426,0.00230328,0.0016452,0.00090486,-0.00032904,1.00E-07,2.20E-07,0,0.0002
8.084074373,0.00242585,0.0018403,0.00041825,8.37E-05,7.00E-08,-2.00E-08,0,0.0001
8.090614887,0.00237216,0.00135552,0.00025416,0.00025416,1.60E-07,-2.00E-07,0,0.0002
8.097165992,0.00239428,8.55E-05,0.00076959,0,1.00E-07,-1.10E-07,0,0.0001
8.103727715,0.00283932,-0.00034416,0.00103248,-0.00017208,1.00E-07,-7.00E-08,0,0.0001
8.110300081,0.00371219,0.00034532,0.00017266,8.63E-05,9.00E-08,1.00E-08,0,0.0001
8.116883117,0.00475365,0.00051858,-0.00060501,0.00034572,6.00E-08,4.00E-08,0,0.0001
8.123476848,0.005184,0.0005184,0,0.0002592,-8.00E-08,0,0,0.0002
8.130081301,0.0047443,0.00051756,0.0012939,0.00034504,-3.60E-07,6.00E-08,0,0.0003
8.136696501,0.00412944,0,0.0017206,0.00043015,-2.60E-07,1.40E-07,0,0.0002
8.143322476,0.0042865,-0.00042865,0.00094303,0.00077157,-1.00E-07,2.00E-07,0,0.0002
8.14995925,0.00546432,-0.00051228,0,0.0012807,1.00E-07,3.60E-07,0,0.0002
8.156606852,0.00697,0,0.000255,0.00153,1.60E-07,3.40E-07,0,0.0002
8.163265306,0.0076167,0.00093093,0.00050778,0.00152334,1.50E-07,2.40E-07,0,0.0003
8.169934641,0.00741488,0.00151668,-0.00025278,0.00143242,1.60E-07,4.00E-08,0,0.0004
8.176614881,0.00746532,0.00150984,-0.00109044,0.0008388,1.60E-07,-1.20E-07,0,0.0004
8.183306056,0.00810144,0.00116928,-0.00158688,0,4.00E-08,-3.60E-07,0,0.0004
8.19000819,0.0094848,0.000832,-0.0007488,-0.0004992,-4.00E-08,-4.00E-07,0,0.0004
8.196721311,0.01086252,0.00016584,0.0012438,-0.00033168,-6.00E-08,9.00E-08,0,0.0003
8.203445447,0.01207128,0,0.00223236,0.00024804,0,4.20E-07,0,0.0003
8.210180624,0.01377249,0.00074223,0.00148446,0.00032988,2.70E-07,4.50E-07,0,0.0003
8.216926869,0.01472991,0.0008229,-8.23E-05,0.00024687,3.30E-07,2.10E-07,0,0.0003
8.223684211,0.01552446,0.00049284,-0.00049284,0.0004107,2.50E-07,2.00E-07,0,0.0005
8.230452675,0.01747026,0.00016404,0.00114828,0.00024606,1.20E-07,4.20E-07,0,0.0006
8.23723229,0.01999336,-8.19E-05,0.0024582,-8.19E-05,1.80E-07,4.20E-07,0,0.0006
8.244023083,0.02317204,0.00049128,0.00180136,0,3.50E-07,6.30E-07,0,0.0007
8.250825083,0.02710228,0.00098256,0.00016376,0.00049128,4.90E-07,6.30E-07,0,0.0007
8.257638315,0.0311258,0.00098292,-0.00065528,0.00073719,0,7.00E-07,0,0.0007
8.26446281,0.03549301,0.00114758,8.20E-05,0.00040985,-7.20E-07,7.20E-07,0,0.0008
8.271298594,0.04110705,0.0011487,0.00155895,0.0003282,-9.00E-07,3.60E-07,0,0.0009
8.278145695,0.04781712,0.00106808,0.00172536,0.00073944,-7.70E-07,2.20E-07,0,0.0011
8.285004143,0.0559436,0.00074043,0.00024681,0.0008227,2.40E-07,4.80E-07,0,0.0012
8.291873964,0.06499782,0.0008238,-0.0008238,0.00032952,1.08E-06,6.00E-07,0,0.0012
8.298755187,0.07575336,0.002063,-0.00016504,-0.00016504,1.17E-06,3.90E-07,0,0.0013
8.305647841,0.08994496,0.00289345,0.00148806,0.00024801,1.54E-06,4.20E-07,0,0.0014
8.312551953,0.10620088,0.00339644,0.00173964,0.00099408,9.00E-07,9.00E-07,0,0.0015
8.319467554,0.12667326,0.00431652,-0.00024903,0.00066408,4.50E-07,1.35E-06,0,0.0015
8.326394671,0.15072216,0.00482444,-0.00191314,0.00016636,2.10E-06,1.65E-06,0,0.0015
8.333333333,0.17941224,0.00450198,-0.0008337,0.00050022,4.20E-06,1.20E-06,0,0.0015
8.34028357,0.21591904,0.0033424,0.00192188,0.0008356,4.76E-06,1.40E-06,0,0.0014
8.347245409,0.256945,0.00309875,0.00309875,0.0011725,3.38E-06,2.08E-06,0,0.0013
8.354218881,0.3077134,0.00403008,0.00117544,0.0012594,1.44E-06,2.28E-06,0,0.0012
8.361204013,0.36403525,0.00471352,-0.00202008,0.00067336,8.40E-07,2.28E-06,0,0.0012
8.368200837,0.42510644,0.00573784,-0.00303768,0.00059066,1.21E-06,1.43E-06,0,0.0011
8.37520938,0.492795,0.0065988,-0.0009306,0.0014382,1.30E-06,9.00E-07,0,0.001
