,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v),,,,,,,,,
55,55,1.408512066,1.482549817,1.428712055,1.287541624,1.489684471,1.337272444,1.639311837,3.29917128,,,,,,,,,
50,50,1.35629752,1.413653633,1.365004557,1.25403411,1.42968261,1.304771729,1.54527865,3.111388767,,,,,,,,,
45,45,1.293269173,1.332976597,1.289110936,1.206334751,1.358489737,1.261280809,1.440238917,2.571279691,,,,,,,,,
40,40,1.230814954,1.253767578,1.214106299,1.155943327,1.286919198,1.215372709,1.337289908,2.056921729,,,,,,,,,
35,35,1.172320913,1.179333867,1.143306363,1.106910895,1.219109908,1.171166922,1.240534895,1.572020933,,,,,,,,,
30,30,1.117176568,1.109493184,1.076614886,1.059627179,1.153036767,1.126838368,1.146860703,1.113137294,,,,,,,,,
25,25,1.060409944,1.03833012,1.009337071,1.010403527,1.092705269,1.087017524,1.061665568,0.682839079,,0.011353325,0.014232613,0.013455563,0.00984473,0.0120663,0.007964169,0.017039027,0.086059643
20,20,1.009368697,0.974050211,0.948547189,0.965884658,1.036995726,1.050284985,0.982473246,0.277668266,,0.010208249,0.012855982,0.012157976,0.008903774,0.011141909,0.007346508,0.015838464,0.081034163
15,15,0.970362018,0.924372483,0.901225133,0.931547421,0.984942848,1.015310399,0.908511221,0.000379956,,,,,,,,,
10,10,0.935650062,0.880139609,0.859070145,0.900562825,0.939071507,0.985064324,0.841728247,0.000372077,,,,,,,,,
5,5,0.915572903,0.853384074,0.833954987,0.882519409,0.900698346,0.961229283,0.783546709,0.00037245,,,,0.011743471,,,,,
