,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,1.124887331087866,1.1158097989539753,1.0822199745188283,1.0589541667364015,1.1433422627615064,1.1211526678661088,1.1367843826359834,0.9687204862343097
50,50,1.4104951685774059,1.484660440502092,1.4310139446025105,1.2902208378661089,1.4915412891631799,1.338981231213389,1.6410489469874479,3.299170882970711
45,45,1.3551235295397488,1.4120105751882843,1.363541108702929,1.2535349570711296,1.4287458864016738,1.3043976165690379,1.5434756211297072,3.102986962343097
40,40,1.291393309790795,1.3306756978242678,1.2869132289539749,1.2048218364016736,1.356737357656904,1.2600292097907948,1.4377649987866108,2.563190807782427
35,35,1.2294376940585774,1.252226541338912,1.2126536697071129,1.154855778075314,1.2856228484100416,1.214424458368201,1.3355855425523009,2.0506638743096235
30,30,1.17048560041841,1.1771371812552303,1.141112580167364,1.105046407991632,1.217591180669456,1.1698629290794977,1.2385581042677822,1.5663971165271968
25,25,1.1158859441666666,1.107910943375,1.0750372599166667,1.0581724104583334,1.1515690597916668,1.1255311909583334,1.1451507700416668,1.1088835346666666
20,20,1.059987809539749,1.0378423253974893,1.008700959497908,1.0096712729288702,1.0909697664435145,1.085391911380753,1.0596138888702926,0.6791157518410041
15,15,1.0078197251882846,0.9722778766108785,0.9467759733054394,0.9641186071129707,1.0356772233472804,1.0491240728033473,0.9811468540585774,0.275026169037657
10,10,0.9699547106694562,0.9238814847280336,0.9007676886610879,0.9309278685355649,0.9845597816736401,1.014930428870293,0.9081059352719665,0.0003798769874476987
5,5,0.9375003252301255,0.8823012302092049,0.8611301220920501,0.9019078123849373,0.9390552045606695,0.985043699874477,0.8418063946861924,0.0003721794142259414
