,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55to50,-0.05712156749790798,-0.07377012830962335,-0.06975879401673643,-0.04625333422594147,-0.06963980528033469,-0.04356571266945606,-0.1008529128702929,-0.4660900793472802
50to45,0.011074327807531415,0.014529973062761537,0.013494567179916307,0.00733717615899585,0.012559080552301215,0.006916722928870245,0.01951466517154814,0.039236784125522825
45to40,0.012746043949790753,0.016266975472803313,0.015325575949790827,0.009742624133891199,0.014401705748953964,0.00887368135564861,0.021142124468619274,0.107959230912134
40to35,0.012391123146443528,0.015689831297071154,0.014851911849372401,0.00999321166527194,0.014222901849372471,0.009120950284518781,0.02043589124686198,0.10250538669456066
35to30,0.011790418728033459,0.015017872016736345,0.01430821790794976,0.009961874016736382,0.013606333548117133,0.008912305857740633,0.019405487656903732,0.09685335155648533
30to25,0.01091993125034869,0.013845247576046039,0.01321506405013948,0.009374799506659714,0.013204424175557828,0.008866347624232862,0.018681466845223094,0.09150271637210605
25to20,0.011179626925383523,0.014013723595502148,0.013267260083751741,0.009700227505892656,0.012119858669630456,0.00802785591551607,0.01710737623427483,0.08595355656513248
20to15,0.010433616870292895,0.013112889757322166,0.012384997238493711,0.00911053316317989,0.01105850861924682,0.007253567715481158,0.01569340696234305,0.08081791656066943
15to10,0.00757300290376568,0.009679278376568989,0.009201656928870294,0.006638147715481169,0.010223488334728059,0.006838728786610871,0.01460818375732218,0.054929258410041856
10to5,0.006490877087866132,0.008316050903765726,0.007927513313807566,0.005804011230125505,0.009100915422594124,0.00597734579916318,0.013259908117154806,1.539514644351462e-06
