,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
50,50,48.1662906560779,48.84090756413851,48.27860788881341,47.18544225881302,49.498285724374185,30.345550207554467,50.00875185027161,51.49722892391908
45,45,45.72895766559452,45.85301525061263,45.681445658987066,45.40988221516012,45.98138705482477,27.346127729313906,46.01331488737364,45.91149626658633
40,40,41.14340258876947,41.03056523782089,41.07871662218283,41.40312683752323,40.698828453821235,27.584292187455947,40.428259711943184,39.76389465851261
35,35,35.79878129112352,35.568962560106115,35.77395292569019,36.32134776465102,35.02749799648548,23.521810636504398,34.753559695809344,33.93606144064748
30,30,30.25758280694918,29.921106204483202,30.247519634339156,30.817853472173145,29.500217193719447,27.74222202326574,29.229087312431417,28.543328642892234
25,25,24.734676826230935,24.3160436235684,24.747172678332706,25.207326529048633,24.178173257783094,27.80068133774308,24.017452644766735,23.57250996131105
20,20,19.288682998702935,18.796159005483897,19.3145810878207,19.560693236899404,19.121801639559507,27.83552473087054,19.123267061719815,18.974470648236462
15,15,14.22081445102024,13.635852981436273,14.239656822344932,14.236586946333084,14.364948314175452,27.85974307271873,14.554001360109497,14.732397445761505
10,10,9.739984045623093,9.07391303825507,9.757107869079794,9.491030729956886,10.019906570413106,27.168625885141896,10.359058278971611,10.820193128502297
5,5,5.92082671185035,7.963474487025517,5.881239330536768,5.366709961472661,6.608953794843692,27.79542218860862,6.513247196603095,7.248418709178369
