,Time(ms),BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T1Therm(c),T2CA(v),T2CB(v),T2CC(v),T2CD(v),T2Therm(c)
2656,3001066,42,1.50316969,1.5252334,1.3796883,1.27660264,27.85697406,1.82319771,1.55727507,1.70791891,2.01507164,27.11888982
2657,3002195,42,1.50776292,1.5288762,1.38450812,1.28082962,27.85963403,1.82972249,1.56205044,1.71037996,2.01559052,27.12111968
2658,3003324,42,1.50846473,1.52968186,1.38461512,1.28011562,27.86089412,1.83410722,1.5615768,1.71382803,2.01605276,27.12203196
2659,3004453,42,1.5091925,1.52962482,1.38560804,1.28083946,27.86208429,1.83399078,1.56801031,1.71477492,2.01549768,27.12341736
2660,3005582,42,1.50747889,1.5289057,1.38223708,1.27865456,27.8632045,1.83573428,1.56661102,1.71427059,2.01598234,27.12476906
2661,3006711,42,1.50508196,1.52668462,1.37952937,1.2773548,27.86502498,1.82573705,1.55712243,1.70819664,2.01432774,27.12683057
2662,3007840,42,1.49971218,1.518936,1.37515683,1.26939769,27.86625039,1.81397585,1.54726052,1.70387288,2.01193435,27.12841908
2663,3008969,42,1.49420943,1.51455206,1.3701592,1.26840752,27.86740585,1.81096051,1.54276682,1.70258492,2.0135803,27.12950069
2664,3010098,42,1.49767363,1.51717125,1.37084881,1.27129383,27.86880648,1.82019221,1.5552259,1.70826155,2.01302719,27.13095419
2665,3011227,42,1.49833413,1.51892459,1.37423197,1.27184891,27.86985702,1.82439677,1.55933801,1.70899522,2.01470815,27.13132603
2666,3012356,42,1.50478259,1.5262157,1.38145226,1.27785087,27.87153799,1.8294601,1.56016216,1.71125329,2.0150087,27.13342199
2667,3013485,42,1.50079046,1.52241751,1.37693181,1.27407196,27.87377949,1.82461785,1.55530103,1.71012111,2.01451421,27.13507863
2668,3014614,42,1.50155089,1.52420744,1.38153723,1.27906487,27.87458509,1.82429488,1.55453471,1.7067824,2.01320894,27.13636345
2669,3015743,42,1.49776096,1.51608864,1.37327839,1.26707983,27.87654667,1.81409504,1.54910749,1.70495156,2.01437337,27.13791888
2670,3016872,42,1.50052729,1.5242216,1.37918358,1.2767061,27.87724728,1.82458953,1.55785729,1.70884337,2.01454883,27.13933915
2671,3018001,42,1.50199857,1.52174757,1.37560215,1.2723906,27.87833328,1.82176931,1.55586162,1.70753653,2.01444222,27.14042132
2672,3019130,42,1.499997,1.52225897,1.37852072,1.27439139,27.87987478,1.823728,1.55800166,1.70969743,2.0138836,27.14160501
2673,3020259,42,1.50599542,1.52454969,1.38128861,1.27460697,27.88110106,1.82906671,1.56034824,1.709199,2.01543199,27.14346524
2674,3021388,42,1.50901548,1.52784945,1.38239758,1.28147085,27.88246757,1.8326501,1.56199104,1.71212937,2.01554489,27.1441079
2675,3022517,42,1.50981091,1.52917399,1.38480159,1.28166715,27.88414955,1.83004586,1.56568851,1.7135916,2.01481712,27.14644194
2676,3023646,42,1.51033373,1.5302806,1.38530906,1.28015968,27.88513077,1.83193059,1.56492219,1.71322339,2.01405001,27.14718619
2677,3024775,42,1.51216614,1.53354142,1.38722527,1.28195865,27.88684801,1.83211234,1.56162833,1.71157705,2.014967,27.14894541
2678,3025904,42,1.51101941,1.53271058,1.38851284,1.28617934,27.888285,1.8353283,1.5679867,1.71525604,2.01409997,27.14985891
2679,3027033,42,1.52016259,1.54086478,1.39467688,1.2919787,27.88930146,1.83624333,1.57116569,1.71322614,2.01552837,27.15195673
2680,3028162,42,1.51984788,1.54038012,1.39585626,1.29141852,27.89101904,1.83546088,1.57016097,1.71377413,2.01632459,27.1530734
2681,3029291,42,1.51964056,1.53972119,1.39558285,1.28994409,27.89273677,1.83401005,1.56677309,1.71173598,2.01457754,27.15496849
2682,3030420,42,1.51706346,1.53596195,1.39197232,1.28745432,27.89403392,1.83564144,1.56995366,1.7153414,2.01571287,27.15578073
2683,3031549,42,1.51726016,1.53979357,1.39444792,1.29011915,27.89568176,1.84337668,1.57985451,1.71973321,2.01566684,27.15760837
2684,3032678,42,1.51735497,1.54010711,1.3943716,1.29086738,27.89715442,1.83857181,1.572159,1.71489923,2.01516094,27.15960542
2685,3033807,42,1.51157645,1.53123182,1.38604864,1.28569862,27.89904798,1.82959975,1.56204572,1.71002119,2.01455276,27.16095946
2686,3034936,42,1.50743523,1.52736518,1.38324534,1.28023363,27.90059101,1.82742194,1.56380693,1.71124778,2.01439029,27.16221203
2687,3036065,42,1.50173342,1.52163152,1.37634172,1.27175764,27.90167822,1.81524335,1.55176642,1.70212584,2.01197054,27.16319382
2688,3037194,42,1.4936819,1.51154026,1.36979806,1.26599132,27.90280055,1.81377561,1.54695919,1.70402906,2.01249179,27.16468353
2689,3038323,42,1.4991756,1.51932585,1.37763755,1.27285835,27.90360727,1.82301872,1.55649576,1.70757823,2.01334859,27.16532684
2690,3039452,42,1.50795175,1.53022867,1.3854259,1.28134221,27.90546633,1.83336371,1.56568143,1.71317815,2.01508895,27.16722304
2691,3040581,42,1.51220942,1.53504181,1.39021661,1.28571986,27.90641347,1.83242941,1.56407679,1.71070647,2.01370382,27.16861144
2692,3041710,42,1.51497692,1.53392733,1.38739246,1.28323048,27.90841312,1.82933697,1.56459528,1.71178908,2.01539894,27.16966127
2693,3042839,42,1.50893877,1.53082191,1.38576343,1.28273717,27.91009718,1.83274688,1.56368222,1.71241103,2.01496149,27.17132078
2694,3043968,42,1.51099738,1.53544031,1.38886099,1.28651844,27.91118488,1.83609502,1.57156105,1.71535163,2.01501657,27.17277719
2695,3045097,42,1.50942146,1.53582584,1.39210017,1.28607706,27.91339554,1.83517056,1.56939307,1.71542598,2.01531515,27.1739966
2696,3046226,42,1.51433648,1.53581482,1.39101244,1.28510656,27.91402719,1.83504506,1.56771684,1.71099561,2.01376716,27.1754532
2697,3047355,42,1.5038951,1.5229179,1.37921741,1.27585047,27.91560642,1.81382911,1.54809805,1.70243347,2.01139698,27.17687602
2698,3048484,42,1.50284436,1.52522435,1.37824062,1.27609674,27.91648382,1.82111235,1.55460709,1.70713252,2.01424592,27.17782463
2699,3049613,42,1.50539078,1.5284533,1.38378035,1.27856762,27.91841423,1.82368551,1.55997688,1.70859278,2.01273648,27.1794509
2700,3050742,42,1.50816103,1.52871333,1.38167925,1.27942522,27.91943216,1.82202501,1.55586948,1.70827492,2.01232932,27.18084012
2701,3051871,42,1.50378653,1.52076291,1.37821426,1.27510539,27.9210469,1.82220912,1.55932306,1.70887839,2.01249887,27.18182279
2702,3053034,42,1.50316772,1.5224002,1.37732953,1.27438037,27.92210006,1.82094516,1.55601583,1.70769074,2.01207283,27.18358493
2703,3054163,42,1.4940623,1.51230147,1.36790468,1.26642523,27.92339903,1.8069491,1.54024558,1.69686502,2.00872468,27.18480496
2704,3055292,42,1.48896593,1.51282743,1.36712891,1.2667124,27.9247683,1.80900575,1.54173653,1.69985204,2.01089855,27.18599118
2705,3056421,42,1.49376687,1.51149148,1.36912851,1.2703017,27.92554074,1.81240386,1.54442418,1.69978398,2.01161216,27.18656736
2706,3057550,42,1.49472635,1.51565552,1.37157383,1.2703611,27.92683993,1.81076578,1.54392418,1.70022379,2.00979431,27.18809263
2707,3058679,42,1.49429322,1.51264411,1.36862222,1.26695316,27.92733153,1.80614737,1.54065746,1.69960145,2.01094419,27.18873667
2708,3059808,42,1.49897772,1.51736559,1.37139838,1.27233789,27.92803384,1.81088891,1.54453197,1.70288351,2.01118494,27.18941462
2709,3060937,42,1.49492973,1.51604655,1.37273709,1.27245473,27.93010579,1.81338222,1.54771489,1.7035562,2.01083207,27.19124521
2710,3062066,42,1.50183374,1.51856228,1.37948413,1.27465575,27.93091356,1.82049708,1.55336004,1.70752355,2.01292176,27.19246569
2711,3063195,42,1.50629872,1.52746589,1.38442669,1.27999996,27.93221307,1.82086018,1.55832739,1.70891851,2.01217471,27.19348281
2712,3064324,42,1.5033062,1.5245611,1.38175399,1.2785334,27.93407468,1.81428859,1.55083487,1.70267186,2.0101814,27.19463561
2713,3065453,42,1.4985025,1.51587346,1.37381655,1.26965851,27.93526901,1.80637239,1.54023339,1.69773324,2.01002051,27.19660229
2714,3066582,42,1.49609377,1.5155969,1.37317768,1.26921122,27.93632288,1.80949001,1.54393086,1.7025267,2.0103958,27.19731441
2715,3067711,42,1.49257607,1.51063428,1.36817769,1.26489297,27.93713089,1.80941133,1.54317752,1.70094763,2.01055591,27.19819612
2716,3068840,42,1.49596514,1.51679753,1.373778,1.27228439,27.93832539,1.81478348,1.55077783,1.70261993,2.01069753,27.19941701
