,Time(ms),BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T1Therm(c),T2CA(v),T2CB(v),T2CC(v),T2CD(v),T2Therm(c)
1753,1981001,55,1.20669672,1.2361546,1.21146659,1.20536156,26.25040205,1.27158258,1.31539686,1.301413,1.37044008,26.50897166
1754,1982130,55,1.20625927,1.23600433,1.21164322,1.20560782,26.2526705,1.27229894,1.31567302,1.30135242,1.37041097,26.50887323
1755,1983259,55,1.20687139,1.23626357,1.2116861,1.20574197,26.25247605,1.27266519,1.31623439,1.30141379,1.37048768,26.4879511
1756,1984388,55,1.20663221,1.23605232,1.21197091,1.20572348,26.2537724,1.27265496,1.31559709,1.30181347,1.37046132,26.4873939
1757,1985517,55,1.20677304,1.23640244,1.21200475,1.20588791,26.25480955,1.27275449,1.31573517,1.30191575,1.37048807,26.48824609
1758,1986646,55,1.20719279,1.23681511,1.21156808,1.20584661,26.2552309,1.27280288,1.31531228,1.30178043,1.37017847,26.49014726
1759,1987775,55,1.20727658,1.23649725,1.21225612,1.20589814,26.25659226,1.27346771,1.31575327,1.30164195,1.37034016,26.48962278
1760,1988904,55,1.20767587,1.23687569,1.21262945,1.20640444,26.25681916,1.27353301,1.31602196,1.30167893,1.37022686,26.49122904
1761,1990033,55,1.20783323,1.23763808,1.21236627,1.20654448,26.25759712,1.27376944,1.31640905,1.30209121,1.37021388,26.49136017
1762,1991162,55,1.20830923,1.23714123,1.21202953,1.20662591,26.25856962,1.27381822,1.31660535,1.30177689,1.37032875,26.49221252
1763,1992291,55,1.20854291,1.23690205,1.21283755,1.20657949,26.25873171,1.27305661,1.31703612,1.30183432,1.3702426,26.4942452
1764,1993420,55,1.20806297,1.23763533,1.21268806,1.20654842,26.26044992,1.27342916,1.31637011,1.30138664,1.37028036,26.4937534
1765,1994549,55,1.20751773,1.23700079,1.21264086,1.20663732,26.26100107,1.27312152,1.316424,1.30095942,1.37020168,26.49509767
1766,1995678,55,1.20767981,1.23684422,1.2121027,1.2057636,26.26139013,1.27285677,1.31617459,1.30092165,1.37025676,26.49585181
1767,1996807,55,1.20704842,1.23613887,1.21238319,1.20608815,26.26365978,1.27239178,1.31612542,1.30094093,1.369778,26.49595018
1768,1997936,55,1.20740443,1.23589261,1.21304487,1.20640129,26.2634328,1.27273364,1.31647829,1.30129066,1.37007895,26.49827836
1769,1999065,55,1.20766132,1.23636153,1.21265148,1.20672151,26.26466499,1.27292876,1.31638348,1.30158334,1.37007776,26.49814719
1770,2000194,55,1.20764165,1.23609756,1.21251773,1.2066448,26.26528111,1.27260303,1.31612266,1.30168365,1.37003134,26.49814719
1771,2001323,55,1.20776439,1.23597207,1.21233205,1.2065854,26.26586482,1.2724563,1.31613525,1.30130954,1.36964267,26.50011485
