,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,50.96459575205982,51.043605583752345,50.99319224073368,50.93245342415002,50.90811609841761,50.83614259876392,50.956308626548875,51.04137662267416
50,50,43.692432965009175,43.786401631777224,43.785524669199845,43.61071245436833,43.748980869145214,43.881536282724156,43.70338134680191,43.72630165687806
45,45,37.50553763350038,37.5408388855677,37.60039712423467,37.37899386742264,37.48116856023012,37.5663205953894,37.437810817454924,37.30015264431824
40,40,31.88406385519679,31.991898575816823,32.06808193535556,31.70527661705615,31.908646088238914,32.02602481373211,31.792629940554814,31.81033130986567
35,35,27.126806234986955,27.08620327195485,27.164261202956226,26.95333751538497,27.009569276013394,27.283010732821083,26.99826183486498,26.901163060421233
30,30,22.821875973839667,22.873913596107283,22.988707812131288,22.757262800475523,22.841973545930532,22.88439272258864,22.749852190863145,22.679681851043156
25,25,18.84618366919155,18.84113989487545,18.822176405626063,18.777003037292086,18.877938980045755,18.883349346994965,18.84847390081137,18.921631016892984
20,20,15.96195792870211,15.945722306079832,15.968100964300126,16.10211425149506,15.707205808769558,15.713960066160853,15.76018243867459,15.600274385151051
15,15,12.319340594712676,12.266260473847737,12.286884729439258,12.574131894022821,12.473919284159752,12.212911084538623,12.469755288458876,12.601490328455359
10,10,9.426131747322973,9.331475520792365,9.074770188411307,9.54706027557368,9.547856326399938,9.370134412444926,9.734042401146624,9.86820916224044
5,5,7.054814147093831,6.97283846591249,6.732008772020596,7.4279760088010045,7.0524349025861355,6.56815499449898,7.239607097007118,7.490000462611854
