,BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,1.2045181032075472,1.2337364799528305,1.209705380283019,1.2037376106603774,1.2693660569339624,1.3133782583962261,1.2980794964622642,1.365834261745283
50,50,1.190952764716981,1.21905554495283,1.1972745733962262,1.1897851946226414,1.2519999081603774,1.3004151456132074,1.2799613180660376,1.3450655752830187
45,45,1.1793284665094341,1.2061396299056604,1.1864205133018868,1.1780824073113207,1.2375206120283022,1.2898164442452829,1.264668644528302,1.3272089349528302
40,40,1.1694389304225352,1.195024170234742,1.1771063009859155,1.1681218695774649,1.2248440096713615,1.280192163286385,1.2514577958685444,1.3115222287793429
35,35,1.1604532009389672,1.1851485153521126,1.1687751618309858,1.159053219577465,1.2135736256807512,1.2717488470422538,1.2395550282159624,1.2981211678873237
30,30,1.152848890798122,1.1764176674647888,1.1613904753990612,1.151457904084507,1.2036652803755867,1.2645205745070422,1.2294461847887326,1.286137524225352
25,25,1.1459676101415095,1.1689208992924527,1.1551024901415095,1.1447510607075473,1.1952363499528302,1.2578171557075475,1.2204884854716982,1.2758325756132076
20,20,1.1396126048584907,1.1617436223584907,1.1488280911320754,1.1383891675943394,1.1872191204245282,1.2517196338679248,1.2122624958490564,1.2666588949056605
15,15,1.1350022707547172,1.1565905402830188,1.1445301256603773,1.1341137289150944,1.1808063368867923,1.2468895386792453,1.2057508859433963,1.2585512171226416
10,10,1.1291796741784037,1.1500420655868546,1.138986565023474,1.1284747384976526,1.1742670396713615,1.2415539997652583,1.1988130763849765,1.251230962910798
5,5,1.1245549808920188,1.1448189199530516,1.1341494268075119,1.1236363844131456,1.1683490997652581,1.2372216566197183,1.1930448723943663,1.244558820938967
