,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55to50,0.002713067698113214,0.002936187000000112,0.0024861613773585756,0.0027904832075472006,0.003473229754717,0.002592622556603752,0.003623635679245307,0.004153737292452853
50to45,0.0023248596415093915,0.0025831830094339204,0.002170812018867885,0.0023405574622641367,0.0028958592264150427,0.0021197402735849023,0.0030585347075471336,0.0035713280660377043
45to40,0.001977907217379782,0.0022230919341836852,0.0018628424631942585,0.001992107546771171,0.002535320471388136,0.001924856191779556,0.002642169731951505,0.003137341234697466
40to35,0.0017971458967136033,0.001975130976525863,0.0016662278309859334,0.00181372999999998,0.002254076798122062,0.001688663248826261,0.0023805535305164048,0.0026802121784038403
35to30,0.0015208620281690344,0.0017461695774647623,0.0014769372863849383,0.0015190630985916,0.001981669061032898,0.0014456545070423044,0.0020217686854459684,0.002396728732394315
30to25,0.0013762561313225064,0.0014993536344672265,0.0012575970515103397,0.0013413686753919406,0.0016857860845512994,0.0013406837598989529,0.0017915398634068768,0.0020609897224288963
25to20,0.00127100105660376,0.0014354553867923947,0.0012548798018868102,0.001272378622641579,0.0016034459056604167,0.0012195043679245287,0.001645197924528352,0.0018347361415094188
20to15,0.0009220668207547078,0.0010306164150943875,0.000859593094339628,0.0008550877358489917,0.0012825567075471778,0.0009660190377358991,0.0013023219811320263,0.0016215355566037814
15to10,0.0011645193152626909,0.0013096949392328305,0.0011087121273806399,0.001127798083488374,0.0013078594430861567,0.0010671077827974162,0.0013875619116839656,0.0014640508423687138
10to5,0.0009249386572769858,0.001044629126760599,0.0009674276431924422,0.0009676708169013892,0.0011835879812206684,0.000866468629107997,0.0011536407981220353,0.001334428394366194
