,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,50.901291609307286,50.9016833201752,50.843238278758896,50.91184244345085,50.80099128714988,50.76952586391108,50.69823667843729,50.66179507823781
50,50,45.43330704917425,45.31593390981053,45.53433471863116,45.52415214847454,45.31083281550051,45.464571402593805,45.14978581796331,44.931368721097414
45,45,39.67233867865086,39.54664587868936,39.83864598885673,39.759589523648565,39.739429806029314,39.94900938917263,39.62951019368018,39.355080009674296
40,40,34.096183075391814,33.98672086744101,34.27818945294379,34.171596819661396,34.29318392730708,34.48127038966618,34.24816789690707,34.01211388252714
35,35,28.84048580732377,28.754849099911336,28.99579043314275,28.904506450103025,29.095931967053886,29.26938550271296,29.099743186859637,28.90347304589612
30,30,23.994774213815965,23.95420836754447,24.106567986002435,24.05821082200592,24.186776791718227,24.318101131691567,24.196351008487813,24.03104168225406
25,25,19.140718690565354,19.132264326997742,19.17355202317964,19.14140127380391,19.274839529098557,19.29623427710059,19.36161780640635,19.35761082453041
20,20,14.833190029521615,14.872001933291582,14.81190324647163,14.832197202770455,14.802120476904387,14.763937362779888,14.860850295080487,14.929147847235736
15,15,10.643989961227058,10.717996221246725,10.513160797973853,10.575115089810119,10.509637193405316,10.358776436977276,10.5344915128203,10.720647314882882
10,10,6.80374635967963,6.912658372447559,6.590454808321632,6.699965852231609,6.487242422578029,6.273624023064224,6.442946086578582,6.718959307290699
5,5,23.335318047722073,23.770458336023545,23.158051151232616,23.521787912419363,23.464738547537422,23.186101155787803,23.979650988499348,24.30249384243323
