,Time(ms),BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T1Therm(c),T2CA(v),T2CB(v),T2CC(v),T2CD(v),T2Therm(c)
5311,6000488,55,1.659273,1.72260811,1.66843704,1.6037825,39.28136071,1.82071266,1.73943068,1.84762963,2.05006728,39.52044074
5312,6001617,55,1.65770023,1.72081307,1.66597048,1.60154175,39.28189576,1.81247231,1.73130677,1.84051319,2.04760938,39.51899856
5313,6002746,55,1.65328363,1.71622181,1.66160817,1.59805591,39.28189576,1.81155453,1.72999166,1.84386292,2.05249608,39.52152244
5314,6003875,55,1.65528992,1.71798892,1.66416678,1.59980847,39.28231192,1.8183417,1.73629811,1.85142585,2.05375375,39.52170273
5315,6005004,55,1.66083949,1.72665728,1.67294766,1.60708029,39.28463066,1.8297516,1.74752076,1.86120121,2.05745358,39.5223638
5316,6006133,55,1.66729306,1.73274264,1.67919667,1.61255354,39.28659286,1.83165522,1.7486907,1.85784638,2.05215461,39.523686
5317,6007262,55,1.66656253,1.73043895,1.67799604,1.61226479,39.28611716,1.82795892,1.7450601,1.85465126,2.05222346,39.52609021
5318,6008391,55,1.66655742,1.73110732,1.67903105,1.6129666,39.28665232,1.82905058,1.74622453,1.85625236,2.05371401,39.52560934
5319,6009520,55,1.66709204,1.7310727,1.67854246,1.61296856,39.28891204,1.82940935,1.74723909,1.85755212,2.05398624,39.52554924
5320,6010650,55,1.66601218,1.72918639,1.6760578,1.61121562,39.28926886,1.82640817,1.74469306,1.85345103,2.05147759,39.52807387
5321,6011779,55,1.66272343,1.72540866,1.67226394,1.60788124,39.28897151,1.82232202,1.74080322,1.8499113,2.05116405,39.52891548
5322,6012908,55,1.66314397,1.72603927,1.67273051,1.6083356,39.29176676,1.82227482,1.74043776,1.85053443,2.05149254,39.52903571
5323,6014037,55,1.66166718,1.72486106,1.67128165,1.60598077,39.29307529,1.81817923,1.73571904,1.84676338,2.04953463,39.52939641
5324,6015166,55,1.66038276,1.72316791,1.67036308,1.60519831,39.29194519,1.81774374,1.73547907,1.84795851,2.05102676,39.53107976
5325,6016295,55,1.65989417,1.72245272,1.66975923,1.60464245,39.2933727,1.81729921,1.73517891,1.8486729,2.05103699,39.53252273
5326,6017424,55,1.66268095,1.72703022,1.67507708,1.61048273,39.29545465,1.82453524,1.74283115,1.85619138,2.05601496,39.53132024
5327,6018553,55,1.67550706,1.74287717,1.69044292,1.62391191,39.29587106,1.83464931,1.75227252,1.86322836,2.05680606,39.5333645
5328,6019682,55,1.67951964,1.74642359,1.69256998,1.62656375,39.29575208,1.83780352,1.75588149,1.86480113,2.05597011,39.53576975
5329,6020811,55,1.67904915,1.74389409,1.68995866,1.62459247,39.29848869,1.83873546,1.75706166,1.86344905,2.05397129,39.53570962
5330,6021940,55,1.67485521,1.73807741,1.68428832,1.62040876,39.29944063,1.83511823,1.75577803,1.86086447,2.05536979,39.53631097
5331,6023070,55,1.67615418,1.74127804,1.68772813,1.62317784,39.29896465,1.8393818,1.75950108,1.86543095,2.0563458,39.49875775
5332,6024199,55,1.67983396,1.74516789,1.69128478,1.62692056,39.30039261,1.8418043,1.76134175,1.86538886,2.0550063,39.53967884
5333,6025328,55,1.6771353,1.74088072,1.68638706,1.62200789,39.30295127,1.83668826,1.75634176,1.85901082,2.05257121,39.5390774
5334,6026457,55,1.67383593,1.73664744,1.683415,1.61952049,39.30384389,1.83605332,1.75586536,1.86029799,2.05471677,39.54148326
5335,6027586,55,1.67580053,1.73876113,1.68593978,1.62060388,39.30277275,1.83480588,1.75403767,1.85838532,2.0524646,39.5428066
5336,6028715,55,1.67258849,1.73437757,1.68018093,1.61522741,39.30545071,1.82741879,1.74638858,1.85164064,2.04976201,39.54136297
5337,6029844,55,1.66424979,1.72434336,1.67088629,1.60695755,39.30699812,1.82178544,1.74079968,1.84805292,2.05037688,39.54292691
5338,6030973,55,1.65938827,1.7192344,1.66568134,1.60213813,39.30527217,1.82340345,1.74235475,1.8517921,2.05255902,39.54515272
5339,6032102,55,1.65950825,1.72149718,1.66879857,1.6041692,39.30521265,1.82674059,1.74578315,1.85533143,2.05312235,39.54557384
5340,6033231,55,1.66242603,1.72500229,1.67137213,1.60615307,39.30836708,1.8247756,1.74354987,1.85171263,2.05098349,39.54455113
5341,6034360,55,1.65852281,1.72099167,1.66698228,1.60193435,39.30866469,1.82161195,1.74039527,1.84883026,2.05058931,39.54581449
5342,6035525,55,1.65850825,1.72148498,1.66761367,1.60304607,39.26870165,1.8251505,1.74460337,1.85411232,2.05300276,39.55153058
5343,6036655,55,1.65816876,1.72065021,1.66667662,1.60221602,39.26887989,1.82750494,1.74712933,1.8562799,2.05239025,39.55514151
5344,6037784,55,1.65783123,1.72073439,1.66727064,1.60302837,39.27119723,1.82668433,1.74653217,1.85464693,2.05113966,39.55369707
5345,6038913,55,1.65729346,1.71910576,1.66618881,1.60189776,39.27179146,1.82323194,1.74221982,1.85036566,2.04944533,39.5562249
5346,6040042,55,1.65561919,1.7171506,1.66466639,1.5994316,39.27161319,1.81964028,1.73835318,1.84733026,2.04884108,39.51821741
5347,6041171,55,1.65553068,1.71787995,1.66461014,1.59978408,39.27339595,1.81847152,1.73726939,1.84863238,2.05093392,39.55857243
5348,6042300,55,1.65599055,1.71806642,1.66568645,1.60010744,39.27500056,1.81541212,1.73287679,1.84243255,2.04517744,39.55809087
5349,6043429,55,1.6531129,1.71476666,1.66184657,1.59677306,39.27422796,1.81035115,1.72897986,1.84295772,2.04950041,39.56007739
5350,6044558,55,1.64972305,1.71090946,1.65749449,1.59232736,39.27375252,1.81402895,1.73120999,1.84516425,2.04918609,39.559355
5351,6045687,55,1.64947482,1.71208885,1.65957041,1.5937117,39.27624867,1.81646326,1.73405027,1.84847621,2.05101693,39.56001719
5352,6046816,55,1.65277734,1.71651292,1.66336387,1.59819635,39.27565432,1.82278701,1.74041533,1.85395811,2.05227302,39.56326824
5353,6047945,55,1.65664083,1.72032959,1.66726513,1.60123097,39.27666472,1.82230983,1.73949795,1.85131885,2.05082417,39.56248553
5354,6049074,55,1.65907749,1.7225137,1.67049605,1.60376755,39.27868566,1.82802658,1.74577607,1.85684284,2.0525185,39.52224361
5355,6050203,55,1.65942407,1.7229425,1.67059203,1.60424473,39.27886399,1.82959936,1.74758488,1.85631452,2.04994454,39.56501437
5356,6051332,55,1.65919905,1.72181897,1.66993586,1.603967,39.2791612,1.82474531,1.74354712,1.8518751,2.04988278,39.56537565
5357,6052461,55,1.65938158,1.72173203,1.67027339,1.6047585,39.28052844,1.82273036,1.74147041,1.85011979,2.04943982,39.56393055
5358,6053590,55,1.65881785,1.72118601,1.66942996,1.60376401,39.28201466,1.82075633,1.73960613,1.84843136,2.04880686,39.56694129
5359,6054719,55,1.65634893,1.71859002,1.66526395,1.60102876,39.28100402,1.81653918,1.73472022,1.84531767,2.04796107,39.56772415
5360,6055848,55,1.65231038,1.71383511,1.66084381,1.5965866,39.28373881,1.81384642,1.73186184,1.843739,2.04734344,39.56742305
5361,6056977,55,1.65094492,1.71230482,1.66064515,1.59614718,39.28272809,1.81563832,1.73458686,1.8469054,2.04955194,39.52747274
5362,6058106,55,1.65326042,1.71571591,1.66365577,1.59807676,39.32253774,1.81983225,1.73868756,1.85007455,2.05097641,39.56489394
5363,6059235,55,1.65684539,1.72007782,1.66875333,1.6020445,39.32468199,1.82358323,1.74180361,1.85223191,2.0503875,39.56417139
5364,6060364,55,1.65861447,1.72256012,1.6708859,1.60463891,39.32503939,1.82246128,1.74056876,1.8504467,2.04928758,39.56615846
5365,6061493,55,1.65967544,1.72361401,1.67165852,1.6061987,39.32551592,1.82091368,1.73962108,1.84940776,2.0494591,39.56633911
5366,6062622,55,1.66054995,1.72370961,1.67121831,1.60537534,39.32843493,1.82276262,1.74147474,1.85091995,2.04931866,39.56724239
5367,6063751,55,1.654107,1.71593385,1.66228795,1.59886039,39.32760089,1.82033933,1.73983744,1.84890697,2.0485901,39.56898883
5368,6064880,55,1.64949292,1.71095116,1.65810542,1.5943663,39.329269,1.81582085,1.73565806,1.84394277,2.04564872,39.56760371
5369,6066009,55,1.64748348,1.70832213,1.65572737,1.59227425,39.32938816,1.81213478,1.7321026,1.84238141,2.04716288,39.53047855
5370,6067138,55,1.64862549,1.71032174,1.65828874,1.59397488,39.33016268,1.81583737,1.73488269,1.84715953,2.04999254,39.57109679
5371,6068267,55,1.65180566,1.71279184,1.66067741,1.59642688,39.3314139,1.82129842,1.74008253,1.85167093,2.05072582,39.5709161
5372,6069396,55,1.65237057,1.71313802,1.66118567,1.5965744,39.33165224,1.8231505,1.74129614,1.85142742,2.04860702,39.57386755
5373,6070525,55,1.65140755,1.71314392,1.66131903,1.59665898,39.33296313,1.82286805,1.74142556,1.85091759,2.04885013,39.57079564
5374,6071654,55,1.65319158,1.7152045,1.66331785,1.59911531,39.33159265,1.82014185,1.73871156,1.84791602,2.04834148,39.57398803
5375,6072783,55,1.65494807,1.71671473,1.66488197,1.59996976,39.33355901,1.81974571,1.73902903,1.84921185,2.04971598,39.57386755
5376,6073912,55,1.65873721,1.72161126,1.66999762,1.60471562,39.33588311,1.82481219,1.74339015,1.85383065,2.05116799,39.57507234
5377,6075041,55,1.66294767,1.72566004,1.67410501,1.60867549,39.33665787,1.82829959,1.74698457,1.85570633,2.05107043,39.57934986
5378,6076170,55,1.66601139,1.72909316,1.67816598,1.61276321,39.33683666,1.83233854,1.75158094,1.85909421,2.0520244,39.57808459
5379,6077299,55,1.66908495,1.73294327,1.68143467,1.61502678,39.34047244,1.83076419,1.75053531,1.85527439,2.04878561,39.57983189
5380,6078428,55,1.66626513,1.72874029,1.67679266,1.61057321,39.34094931,1.82550023,1.74529731,1.85048407,2.04868058,39.58115751
5381,6079557,55,1.66071085,1.7225015,1.67046261,1.60558501,39.34065126,1.82718669,1.74773909,1.85367368,2.05066484,39.58302557
