,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,50.464029143489626,51.2787035573582,50.502187287547116,50.92188044438885,51.38614608662098,51.21070031174704,51.81648988941244,51.42300840766866
50,50,46.3800319221678,46.119545016145295,46.45652829440899,46.411384170674424,46.3021164377971,46.53109077233951,45.746374615087795,45.08867748705641
45,45,41.348503047175605,40.50762468713401,41.420496555861305,41.092645958282525,40.62602146332401,40.97098699853742,39.66999459160734,39.0758559377514
40,40,36.378040876140176,35.37485476629842,36.470661438340976,36.070435008616435,35.22931932575997,35.71534036892948,34.225586759067326,33.58718396419812
35,35,30.86553357760522,29.94057676500965,30.964659231633256,30.571128974757958,29.6879616713302,30.135629869933133,28.8778183238261,28.395875930357974
30,30,25.28422423274971,24.598881589309084,25.385638315393432,25.0564532729869,24.43760529022702,24.789281481560508,23.90854603350106,23.577179387477695
25,25,19.66860997942328,19.29460468430322,19.72484139822368,19.499058667484647,19.34423295851342,19.474106950260207,19.148206527985703,19.06688464195412
20,20,14.49255833658331,14.524612956434357,14.514032752354167,14.478426838472705,14.654376334162567,14.627862523204058,14.811030067203616,14.920506068231726
15,15,9.458726263203301,9.9702200967942,9.419146447527098,9.62600220272885,10.043721758660967,9.825829617717433,10.643004063956454,11.059427902428306
10,10,4.721680735375737,5.7196404043056885,4.601038110655824,5.0660113596914025,5.743151069440275,5.241195739571848,6.689161844819249,7.48956462920764
5,5,16.84484485366178,18.83935189484556,16.544467392264764,17.476640517322537,19.00256515868772,17.878868980308205,21.89284398077757,23.70160296367132
