,BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,2.0010025224528305,2.1926823126886794,2.029301385754717,1.9292710362735848,2.3153682029245286,2.156920515566038,2.288590642783019,2.8324471025
50,50,1.9849454314084507,2.1403429781220655,2.027951505258216,1.9204553334272298,2.2606933781220655,2.14700306657277,2.165739713380282,2.5759626420657273
45,45,1.84660664314554,1.946362566338028,1.886408056948357,1.7807847271361503,2.020900360140845,1.973362518169014,1.8840489065727697,2.2439138346948355
40,40,1.676171755471698,1.7353586579245284,1.7102149325943397,1.6160863556603775,1.7531820267924525,1.7670505469811322,1.602067376745283,1.92871871
35,35,1.5078054034433963,1.5423704380660377,1.5370375263207545,1.4605701539622642,1.4986415181603772,1.5720356947169811,1.3494132564150942,1.6409997692452831
30,30,1.321078151037736,1.3380457451886794,1.3444017801886794,1.2902803762264152,1.2372781966509436,1.364996200754717,1.101243800471698,1.3688687955188679
25,25,1.132020340798122,1.1372020956807511,1.1492113649765257,1.119514666197183,0.989640222629108,1.1666157892488263,0.8706389013145541,1.1162703032394365
20,20,0.941800507370892,0.9377653445070423,0.9511598937089202,0.9474261360563382,0.7494065482629109,0.9693921079342723,0.6497297726760564,0.879838388028169
15,15,0.7664701451173709,0.7584173069953051,0.7688519370892019,0.791958832910798,0.52820507,0.7895684425352112,0.44845802061032863,0.6624831412676057
10,10,0.5959572403301887,0.5871756218867924,0.5905996974528301,0.6417001807075472,0.3107392305188679,0.6113852799999999,0.25503589358490564,0.46008348514150943
5,5,0.4354974988679245,0.4273570792924528,0.4220309501886793,0.5004969411792454,0.10789878783018868,0.44126887731132075,0.0715532158490566,0.2729494599056604
