,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55to50,0.00321141820887596,0.010467866913322776,0.0002699760993001732,0.0017631405692709822,0.010934964960492621,0.001983489798653526,0.024570185880547425,0.051296892086854576
50to45,0.02766775765258216,0.03879608235680752,0.0283086896619718,0.027934121258215906,0.04795860359624413,0.03472810968075124,0.05633816136150242,0.06640976147417836
45to40,0.034086977534768394,0.04220078168269992,0.03523862487080347,0.03293967429515456,0.05354366666967847,0.04126239423757636,0.056396305965497315,0.0630390249389671
40to35,0.03367327040566033,0.03859764397169814,0.03463548125471703,0.03110324033962266,0.050908101726415064,0.03900297045283021,0.050530824066037774,0.05754378815094339
35to30,0.037345450481132046,0.04086493857547167,0.03852714922641502,0.034057955547169796,0.05227266430188671,0.04140789879245284,0.049633891188679245,0.054426194745283055
30to25,0.03781156204792282,0.04016872990158564,0.03903808304243075,0.034153142005846425,0.04952759480436712,0.03967608230117814,0.04612097983142878,0.05051969845588626
25to20,0.03804396668544598,0.03988735023474177,0.0396102942535211,0.03441770602816898,0.048046734873239426,0.039444736262910784,0.044181825727699554,0.0472863830422535
20to15,0.035066072450704235,0.035869607502347446,0.036461591323943665,0.031093460629108026,0.04424029565258216,0.035964733079812225,0.04025435041314555,0.04347104935211268
15to10,0.034102580957436436,0.03424833702170253,0.03565044792727434,0.03005173044065017,0.043493167896226426,0.03563663250704226,0.0386844254050846,0.04047993122521924
10to5,0.03209194829245284,0.031963708518867914,0.03371374945283016,0.028240647905660367,0.040568088537735844,0.03402328053773583,0.036696535547169805,0.03742680504716981
