,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55to50,0.03292543838772666,0.03700343429288697,0.03343194690376574,0.028859922746164557,0.042361569502092064,0.03344031321757317,0.04458563076847968,0.05527217232217572
50to45,0.032101761652719586,0.0349636396582985,0.03349513516736398,0.02726340382008372,0.03961072167782422,0.030974669695955415,0.04080216655369595,0.05069664675174339
45to40,0.0306125273152023,0.0332970883026499,0.03218054975453279,0.026064947276150673,0.03775294274198045,0.02944001871129709,0.0391499145941423,0.04870083529428184
40to35,0.027940548382147812,0.030579129588563438,0.029459779900976323,0.023595630775453236,0.03540629437796383,0.027461658396094844,0.037255610921896755,0.046730508217573165
35to30,0.028105035927475576,0.03055620008089268,0.02973644622873084,0.024133880532775452,0.03483124555927466,0.027142225136680586,0.0365644318410042,0.0452429589818689
30to25,0.025326013741221322,0.027757175614649077,0.026871571876772915,0.021576231573205186,0.032834813854496714,0.025579707047986268,0.03490934450869769,0.04332102238310749
25to20,0.024201180576770343,0.026508548674053854,0.025764778430061065,0.020750004538370836,0.03215617530310442,0.025321516534998433,0.03416196060427303,0.041752561665707025
20to15,0.022873766041840993,0.02507340226778241,0.024452298902370995,0.019751936543933014,0.030287594620641612,0.02386783470292886,0.03255083407670849,0.03978422278382143
15to10,0.021659684454672257,0.023626638326359826,0.0231853927977685,0.018707453594142276,0.028596255552301254,0.022300413606694526,0.030923035920502072,0.037900674380753195
10to5,0.02036183714086468,0.022328964249651317,0.02194229824686189,0.017794789920502097,0.027282822421199414,0.021466024513249683,0.02975399781729433,0.036208996181311015
