,BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,1.9148592241980473,2.03107262748954,1.9310420179567642,1.8091496675174337,2.1751300300488143,2.0176612620502095,2.2952718606345885,2.6496237301464434
50,50,1.6680201008437934,1.7524125450906558,1.6812627621478384,1.5760200751185496,1.8820051921408645,1.7675731988075314,1.9957724899232914,2.313156492391911
45,45,1.4814228066596933,1.550584570460251,1.4900431813458856,1.4122150842956762,1.655460145334728,1.5831454817573218,1.7681192233333334,2.0426921497838215
40,40,1.3174943480962342,1.3741675284588561,1.321231871269177,1.2715600663877267,1.4526141742956766,1.4210931726011158,1.5621113443933057,1.791686120753138
35,35,1.1626599121478383,1.2075982511087866,1.1609541178242677,1.138443688235704,1.2584232248953975,1.2656478609623432,1.3639498325453279,1.5515395329218968
30,30,1.0172697302719664,1.0510147068758717,1.0096218471687586,1.0131307347280334,1.0740762435564852,1.1185700217364016,1.1742999625313808,1.3214809825244072
25,25,0.8797652324267784,0.9027100909344491,0.8658182810529986,0.894101811018131,0.8990182133263598,0.9792339643026501,0.9926741297768479,1.1009833036541143
20,20,0.7501134619512194,0.7629659314773519,0.7299331792752612,0.7816116093240418,0.7307468233797909,0.8442841930034843,0.8168524756655053,0.8893734320209059
15,15,0.6277747985365855,0.6307687562578397,0.6013648335540069,0.6747051038536586,0.5725612828780487,0.7183402229616725,0.6495178303902439,0.6866711269198607
10,10,0.5158787282845189,0.5100206131938633,0.48416739761506283,0.5774357787517433,0.4214641227963738,0.5978640431729427,0.48883524075313806,0.49285403588563453
5,5,0.4115841071010453,0.3972135586829268,0.3745087837421603,0.48678565216724734,0.277507079902439,0.4828366589686411,0.33429606849477356,0.3071105912682927
