,Time(ms),BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T1Therm(c),T2CA(v),T2CB(v),T2CC(v),T2CD(v),T2Therm(c)
81266,91800837,55,1.15509528,1.57364012,1.44846754,1.23221991,36.2751608,1.20550908,1.21500907,1.90204697,2.15676309,36.52211856
81267,91801966,55,1.15513226,1.57263973,1.44638611,1.23152204,36.2782209,1.20703307,1.21356651,1.90156231,2.15856993,36.52332498
81268,91803095,55,1.14857011,1.56161299,1.43944159,1.2253997,36.28008828,1.2014068,1.20755078,1.8964203,2.1578992,36.52505603
81269,91804224,55,1.12939507,1.53886478,1.42405214,1.21185211,36.28242274,1.20281593,1.20870302,1.89888096,2.15971037,36.52851856
81270,91805353,55,1.14159569,1.55231127,1.43017606,1.21852362,36.28517253,1.19954685,1.20352324,1.89721377,2.15490786,36.52883336
81271,91806482,55,1.14805123,1.56276759,1.43777794,1.22498703,36.2865735,1.20652914,1.21405549,1.90535184,2.16373791,36.53187669
81272,91807611,55,1.14658113,1.56015744,1.43599391,1.2242329,36.29005038,1.2198045,1.22544494,1.91233374,2.1607619,36.53476299
81273,91808740,55,1.14373691,1.55401071,1.43334246,1.22220576,36.29046556,1.21404133,1.22037098,1.90469016,2.15792084,36.5370723
81274,91809869,55,1.13418381,1.54242693,1.43081453,1.21906375,36.29357971,1.21811056,1.22545162,1.90665711,2.16146017,36.53917189
81275,91811028,55,1.12207092,1.5307511,1.42409148,1.21250435,36.25629104,1.23646814,1.24299803,1.91765002,2.16431068,36.54746723
81276,91812157,55,1.12373024,1.53354614,1.42109621,1.21103858,36.26095513,1.24270062,1.24870141,1.91756151,2.16175286,36.54941027
81277,91813286,55,1.12773575,1.53808587,1.42268039,1.21225612,36.26204356,1.23160229,1.23797718,1.9091756,2.15702941,36.55240393
81278,91814415,55,1.13697256,1.5467086,1.43201594,1.22091347,36.26463527,1.22571008,1.23160622,1.90615947,2.15814664,36.55466257
81279,91815544,55,1.14839938,1.56105988,1.44118313,1.22931826,36.26878266,1.23234304,1.2397203,1.91366458,2.16055695,36.55618598
81280,91816673,55,1.15738127,1.57247411,1.4491249,1.23698072,36.30692365,1.2271971,1.23482022,1.91237347,2.15716828,36.55508281
81281,91817802,55,1.15978646,1.5720221,1.44848957,1.23611763,36.31040376,1.1954725,1.20355314,1.8937956,2.14732997,36.55723667
81282,91818931,55,1.15436987,1.56493596,1.44076495,1.2296554,36.3115466,1.16970541,1.17845088,1.87896005,2.14563131,36.55634358
81283,91820060,55,1.14551818,1.55432779,1.43411036,1.22157043,36.31284536,1.16281832,1.1725988,1.88149821,2.15302352,36.55918057
81284,91821189,55,1.14037853,1.55475422,1.43337393,1.21873959,36.31455984,1.17855513,1.19176558,1.89926373,2.16040903,36.56128228
81285,91822318,55,1.1415768,1.5573565,1.43430312,1.21800474,36.31934031,1.19739579,1.20636667,1.90879244,2.15788622,36.56291124
81286,91823447,55,1.13171214,1.545661,1.43045772,1.21268098,36.32011983,1.19912277,1.2090075,1.90676529,2.15716749,36.56622209
81287,91824576,55,1.11580578,1.53155755,1.41980038,1.20187651,36.3206915,1.21276556,1.22266366,1.91399385,2.15982013,36.5699014
81288,91825705,55,1.12176172,1.54013189,1.42516859,1.20660428,36.32557727,1.21741387,1.2274528,1.91570352,2.15837874,36.57195157
81289,91826834,55,1.1298215,1.55019718,1.43027676,1.21104369,36.32854046,1.2063946,1.21562787,1.90463587,2.15280755,36.57436997
81290,91827963,55,1.12766808,1.54709687,1.42785584,1.20910034,36.32932031,1.19381121,1.20358028,1.89512093,2.15142124,36.57684121
81291,91829092,55,1.13256658,1.55153078,1.43065403,1.21216053,36.332128,1.19705511,1.20815306,1.89863666,2.15659275,36.57705154
