,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,61.604131799127316,65.54272708356773,64.28648229617245,62.24319537834399,60.16640600526235,63.43410360467448,64.6089728986798,62.568656925714706
50,50,60.495435111714016,58.30487638808065,59.51721885955994,60.0531099173877,59.95282090222132,59.00090310997353,57.34387234084074,57.59023228106516
45,45,53.84151985945647,52.52666713328131,53.17361622157207,53.507978145487314,53.774361713521024,53.02451957143571,52.28091147381267,52.696300516877585
40,40,48.26717659770828,47.47595155141804,47.8864475463599,48.000961580384875,48.32794693739912,47.77690823872038,47.58826874411398,48.00139155813333
35,35,43.33188835766643,42.94123230014001,43.134657305270444,43.147576729166886,43.46569244599288,43.160198239145664,43.23638416349583,43.525425641006514
30,30,38.81885753750916,38.7808464404147,38.75927521441123,38.70826983780882,38.92751748834367,38.875660701852695,39.112802290997806,39.24635791503755
25,25,34.740920507273145,35.017875682538644,34.80832605101886,34.72494958961447,34.69342157833532,34.90936300540491,35.21116983459161,35.159179219072186
20,20,30.935183742809265,31.49435556767881,31.10429833680565,30.998585666711133,30.69051492593395,31.163908393075207,31.484455850822087,31.249159625665285
15,15,27.57899505071115,28.355680955702518,27.815435293898425,27.730656703656734,28.0823199768496,27.762836260374907,28.022296515956167,27.846032527104963
10,10,47.01811631441915,46.71059671847587,46.544819914973374,47.09228713197311,47.58860174160739,47.162102774163415,47.21384570951852,47.626217817105434
5,5,47.54337588884261,47.02479067335857,47.14502251277982,47.369765560971686,47.90773072090995,47.30683111666025,47.47435581898649,48.06838098869844
