,Time(ms),BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T1Therm(c),T2CA(v),T2CB(v),T2CC(v),T2CD(v),T2Therm(c)
1221,1380126,55,1.91444979,1.99474082,1.85939437,1.71859632,26.85128673,2.09968761,1.81193179,2.19972174,2.79679592,26.00887344
1222,1381255,55,1.91486403,1.99469361,1.85951475,1.71902511,26.85258756,2.100605,1.79729136,2.19944715,2.79489623,26.00983436
1223,1382384,55,1.91520785,1.99475656,1.8600891,1.71936775,26.85332139,2.10100901,1.78759625,2.19953842,2.79614918,26.01137194
1224,1383513,55,1.91502728,1.99462241,1.85982592,1.71935281,26.85418869,2.10190279,1.80756004,2.20007225,2.79697727,26.01239705
1225,1384642,55,1.91544546,1.99468614,1.85988336,1.71940591,26.85378839,2.10208572,1.79492276,2.20083818,2.79355595,26.0133261
1226,1385771,55,1.91614176,1.995456,1.86049901,1.71953298,26.85478914,2.10282058,1.790837,2.2014326,2.79507837,26.01473578
1227,1386900,55,1.9162228,1.99589149,1.86068823,1.71960694,26.85629035,2.10321751,1.80073746,2.20154471,2.79622786,26.01547269
1228,1388029,55,1.91643838,1.99564798,1.8603094,1.71980324,26.85729122,2.10305622,1.80503998,2.2008311,2.79580615,26.01531249
1229,1389158,55,1.91664963,1.99551777,1.86020672,1.71991339,26.85849233,2.10260736,1.80649513,2.2000514,2.79538325,26.01630576
1230,1390287,55,1.91659416,1.99567984,1.86048682,1.71961795,26.85962677,2.10232215,1.78863991,2.20044597,2.79561535,26.01710681
1231,1391416,55,1.91659849,1.99534389,1.86065086,1.71968679,26.86006054,2.10258533,1.80802385,2.20050656,2.79897019,26.01797199
1232,1392545,55,1.91633885,1.99526482,1.86016306,1.7196628,26.86076127,2.10292443,1.81469103,2.20086651,2.79578805,26.02031134
1233,1393674,55,1.9166213,1.99532186,1.8603865,1.71968561,26.86162888,2.1042655,1.79455651,2.20166194,2.79539073,26.02043953
1234,1394803,55,1.91695333,1.99624515,1.86074685,1.72039647,26.86303047,2.10486306,1.8021517,2.20197036,2.79690017,26.02034339
1235,1395932,55,1.91731642,1.99735687,1.86162372,1.72076272,26.86393154,2.10628123,1.81312416,2.20290781,2.79816177,26.02188174
1236,1397061,55,1.91779203,1.99782815,1.86260365,1.72130166,26.86419853,2.10750625,1.80927089,2.20354314,2.79708309,26.02348431
1237,1398190,55,1.91833688,1.99779825,1.86294826,1.72168719,26.8648994,2.10864118,1.81152699,2.20420836,2.79773573,26.02470235
1238,1399319,55,1.91881642,1.99803704,1.86313591,1.72211874,26.86683525,2.10956762,1.79849396,2.20480396,2.79926838,26.02511906
1239,1400448,55,1.9191276,1.9984623,1.8631485,1.72199482,26.86823719,2.10978752,1.80833974,2.20468082,2.79731519,26.02595251
1240,1401577,55,1.91925702,1.99893909,1.86373937,1.72220567,26.8689382,2.10984102,1.81453131,2.20527366,2.79717436,26.02749128
1241,1402706,55,1.91987307,1.99917591,1.86369767,1.72244879,26.868571,2.11034811,1.79538774,2.20491371,2.79757916,26.02912635
1242,1403835,55,1.91965789,1.99964207,1.86396636,1.72280796,26.87060735,2.11010538,1.80016115,2.20522252,2.79937538,26.02931872
1243,1404964,55,1.91965946,1.99975576,1.86387391,1.72303101,26.87170906,2.11000664,1.80910567,2.20436965,2.79804808,26.02931872
1244,1406093,55,1.91998794,1.99943043,1.86421498,1.72301567,26.87241019,2.1107411,1.81384681,2.20508798,2.79644147,26.03034472
1245,1407222,55,1.9207763,1.99981753,1.86489201,1.7237336,26.87301117,2.11139334,1.80964068,2.20607421,2.7986838,26.03191588
1246,1408351,55,1.92165395,2.00066804,1.86570396,1.72442951,26.8738125,2.11169626,1.8049432,2.20567296,2.79817003,26.03371163
1247,1409480,55,1.9217405,2.00047016,1.86561309,1.72441732,26.87461386,2.11108611,1.81423273,2.20518869,2.79723612,26.03351922
1248,1410609,55,1.92179596,2.00036827,1.86619413,1.72450701,26.87631687,2.11158099,1.80347271,2.20580395,2.79861417,26.0336475
1249,1411738,55,1.92200407,2.00097488,1.86663945,1.72458451,26.87748567,2.11188823,1.7980034,2.20665407,2.79985335,26.03528305
1250,1412867,55,1.92294506,2.00232579,1.86795062,1.72596452,26.87725191,2.11264826,1.80570127,2.20705494,2.79928765,26.03691873
1251,1413996,55,1.92399187,2.00412279,1.8696304,1.72702117,26.87791982,2.11404362,1.82242745,2.20884329,2.79886358,26.03765643
1252,1415125,55,1.92545607,2.00562201,1.87112489,1.72796727,26.88065848,2.11596454,1.81626538,2.21071111,2.80032463,26.03816963
1253,1416254,55,1.92579006,2.00624986,1.87124684,1.72882487,26.8814267,2.11622733,1.79511552,2.20960293,2.79941314,26.03983761
1254,1417383,55,1.92533176,2.00527267,1.87050215,1.72784218,26.88105929,2.11529421,1.8094251,2.20826461,2.79952683,26.04096037
1255,1418512,55,1.92493522,2.00443515,1.86986171,1.72782487,26.88326388,2.11506053,1.81807812,2.20778546,2.79792377,26.0406075
1256,1419641,55,1.92445135,2.00385765,1.86963118,1.72729772,26.88419923,2.11568248,1.80389246,2.2080927,2.79790174,26.04185862
1257,1420770,55,1.92426646,2.00414404,1.86896635,1.72743502,26.88439967,2.1161341,1.80843376,2.20900497,2.80055555,26.0437194
1258,1421899,55,1.92398597,2.0037829,1.86877831,1.72754202,26.88650439,2.1172112,1.81388458,2.21010175,2.80120622,26.04432901
1259,1423028,55,1.92425348,2.00405041,1.868547,1.72723163,26.88723942,2.11839137,1.8277276,2.21172842,2.80077782,26.04445735
1260,1424157,55,1.92460359,2.00411729,1.86938059,1.72763014,26.88743988,2.11928869,1.80319773,2.21137515,2.79840685,26.04651089
1261,1425286,55,1.92477432,2.00504923,1.86911702,1.72772495,26.88834201,2.11788193,1.80066075,2.20955611,2.79989741,26.04663924
1262,1426464,55,1.92492224,2.00395128,1.86897658,1.72725052,26.86566704,2.11601608,1.81531495,2.20879215,2.79917672,26.07451069
