,BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,1.9429476820657277,2.0239628107981225,1.8899426388732397,1.747052185915493,2.1502419664319246,1.8373064609389673,2.230860335023474,2.8069619051643193
50,50,1.8743315922065726,1.9323729537089198,1.8439081769483572,1.738357536197183,2.095560668920188,1.8332924770422538,2.0983422235211266,2.50063267943662
45,45,1.7389208343867923,1.7715730567452832,1.7207330258490567,1.6460334216509434,1.9253916364150945,1.7353114362264148,1.8907179114622643,2.165242906509434
40,40,1.5790765153773585,1.5857814599056606,1.5625253256603773,1.519386879764151,1.7082566076886792,1.5889584516037734,1.661546483537736,1.8398905306603774
35,35,1.413166973443396,1.393723158207547,1.3914142926886794,1.3800442686320753,1.4747957283490567,1.4212075891037732,1.4297401656132074,1.5331486553773583
30,30,1.2487281633490563,1.2031712432075472,1.2178353421226416,1.2385385850000004,1.239110433254717,1.2452030102830185,1.2023601232547172,1.2448949294339622
25,25,1.0910523944131456,1.0194557955868544,1.0476722553521127,1.1001575997183097,1.0073825715492957,1.0681716910798122,0.9831149319248826,0.9744922258685447
20,20,0.9429718346948357,0.8477061556338027,0.8867563955868545,0.9690273781220655,0.7863101969483568,0.8981064929107981,0.7750032017370893,0.7220044073239437
15,15,0.8082058663849765,0.6909344982159624,0.7381293700469483,0.848195242253521,0.5739482100469483,0.7313061957746481,0.5761958044131456,0.4849844263849765
10,10,0.6884771353773584,0.5509299393396228,0.6045865335849058,0.7407225726415093,0.3745062558962265,0.573513825,0.3889919060849056,0.2622990816037736
5,5,0.584225345754717,0.4284988749056604,0.48670826339622647,0.6472047941509432,0.1948426674528302,0.428832295754717,0.21712877900943395,0.05499169396226416
