,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55to50,0.013723217971831004,0.01831797141784053,0.009206892384976495,0.0017389299436620042,0.010936259502347312,0.000802796779342696,0.026503622300469497,0.0612658451455399
50to45,0.027082151563956058,0.03215997939272732,0.024635030219860087,0.018464822909247936,0.034033806501018705,0.019596208163167806,0.041524862411772466,0.0670779545854372
45to40,0.03196886380188677,0.03715831936792453,0.031641540037735894,0.025329308377358473,0.04342700574528306,0.02927059692452829,0.045834285584905654,0.06507047516981128
40to35,0.03318190838679249,0.03841166033962269,0.03422220659433957,0.027868522226415136,0.04669217586792449,0.03355017250000003,0.046361263584905735,0.06134837505660382
35to30,0.032887762018867936,0.038110382999999984,0.03471579011320758,0.028301136726414988,0.04713705901886796,0.03520091576415094,0.04547600847169804,0.05765074518867923
30to25,0.03153515378718215,0.03674308952413856,0.03403261735410577,0.027676197056338125,0.04634557234108425,0.03540626384064125,0.04384903826596691,0.054080540713083505
25to20,0.029616111943661982,0.03434992799061034,0.03218317195305165,0.026226044319248843,0.04421447492018778,0.034013039633802825,0.041622346037558676,0.0504975637089202
20to15,0.026953193661971842,0.03135433148356805,0.029725405107981228,0.024166427173708892,0.042472397380281704,0.03336005942723001,0.03976147946478874,0.04740399618779343
15to10,0.02394574620152361,0.028000911775267933,0.026708567292408513,0.02149453392240235,0.03988839083014436,0.03155847415492961,0.037440779665647995,0.044537068956240586
10to5,0.020850357924528294,0.02448621288679247,0.02357565403773586,0.018703555698113217,0.03593271768867926,0.02893630584905661,0.034372625415094324,0.041461477528301885
