,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,51.06773359973335,51.06515304237807,50.865205926259236,50.93197235703305,50.650109835040965,50.33211517027313,50.78642623763677,50.897901293423786
50,50,46.360439032371175,46.42990814498621,46.5354667249356,46.659096012685644,46.57159111106288,46.57109881456045,46.239267458078835,45.90221551078067
45,45,41.34803736415017,41.45645491929827,41.73294580375009,41.78691908352352,41.95469752491822,42.16273113888895,41.42321667310104,40.890422815743406
40,40,36.28805049730086,36.40775012878634,36.73863129301507,36.80463128021796,37.05023561591501,37.394203206513396,36.50803993887233,35.91051662785525
35,35,31.18079283091007,31.264109299812603,31.609884644067623,31.615319021562097,31.9494949520594,32.355752534055796,31.535004958928287,31.008585279372795
30,30,26.205176507913855,26.239604413127353,26.500075130779518,26.525822953705948,26.874837030703986,27.246682630053378,26.652111832748197,26.276896885358248
25,25,21.531546875793968,21.522243645975237,21.664018269828563,21.65910469075755,21.90423869962964,22.178250101637747,21.910972752837516,21.750706830511863
20,20,17.211748584884877,17.14407864180495,17.11893184546076,17.099542577999784,17.14575631608067,17.195799149418,17.370411026613027,17.493562537247083
15,15,13.481548559528145,13.399386022201082,13.157002076979376,13.113144048103832,12.830291382829683,12.57905652836098,13.177608532936691,13.608849772591526
10,10,10.489540896016269,10.457586612741986,9.974457674134195,9.869601554969616,9.376483775256569,8.762997289467581,9.649858224746653,10.376118724069622
5,5,24.703595772293173,25.05201203540417,24.087411827313606,23.569499005146486,24.25642594037825,23.224089368316903,25.68130262033821,27.09124127169317
