,BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,1.6930391724413145,1.6640028163380283,1.5955171933333332,1.541054751877934,1.7231045609859155,1.5748092144600938,1.894869153333333,2.2668980460093895
50,50,1.6175916668396224,1.5875538781132075,1.5317332323113209,1.4915501266509432,1.6418879080660378,1.5151754436320755,1.7736128687735853,2.073961247688679
45,45,1.5214958009433963,1.4862669733490568,1.4454183994811323,1.4193985450943392,1.5294288365566038,1.4345099124056604,1.627972546509434,1.8702121267924527
40,40,1.4217831641981131,1.380490455424528,1.3527454243867925,1.3399474163679244,1.4065618535849054,1.3438813282075472,1.4775243541509435,1.6692963977830189
35,35,1.3236726779245283,1.2759019998113206,1.2591537547169813,1.260677621509434,1.279819350471698,1.2489649957547169,1.3277275371226418,1.473900606745283
30,30,1.226358766462264,1.1712627739150943,1.1648409761792453,1.180195989009434,1.1513638016037735,1.151403248254717,1.179746475471698,1.2856978166981132
25,25,1.1336132845539908,1.071266994225352,1.0730117003286386,1.1024972203286385,1.025689421220657,1.0542325469483569,1.0368213850234742,1.1068735743661973
20,20,1.0476867515492958,0.9786527954929578,0.9872826471830985,1.0294666145070421,0.9047970724413147,0.9595907986854461,0.9005816868075119,0.9389438156338028
15,15,0.9689907668544601,0.8934854290140845,0.9074591877464789,0.9616557337558685,0.7901377091079812,0.8674606686854462,0.7713743450704225,0.7825245324413145
10,10,0.9013082660849057,0.8209126524056605,0.8381578561320754,0.9026284887264152,0.6866669261320755,0.7825306561320755,0.6527244323113207,0.6405948441509435
5,5,0.8462914135849057,0.7630932868867923,0.7817879886320753,0.8541717337264151,0.6031322999528301,0.7118159692924528,0.5521413259905661,0.5214857654716981
