,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55to50,0.015089501120338421,0.01528978764496416,0.012756792204402467,0.009900925045398168,0.016243330583975535,0.011926754165603671,0.02425125691194956,0.03858735966414208
50to45,0.01921917317924522,0.02025738095283014,0.017262966566037718,0.014430316311320811,0.022491814301886803,0.016133106245283014,0.029128064452830272,0.04074982417924526
45to40,0.01994252734905664,0.02115530358490574,0.01853459501886796,0.01589022574528296,0.02457339659433968,0.01812571683962263,0.03008963847169808,0.040183145801886776
40to35,0.019622097254716975,0.020917691122641503,0.018718333933962227,0.015853958971698077,0.02534850062264149,0.018983266490566076,0.029959363405660345,0.03907915820754719
35to30,0.019462782292452862,0.020927845179245265,0.0188625557075472,0.01609632649999999,0.025691109773584887,0.01951234949999998,0.029596212330188765,0.03764055800943393
30to25,0.01854909638165463,0.019999155937948432,0.018365855170121348,0.0155397537361591,0.02513487607662328,0.019434140261272013,0.028585018089644754,0.03576484846638319
25to20,0.017185306600938997,0.018522839746478857,0.017145810629108006,0.014606121164319275,0.02417846975586848,0.018928349652582166,0.027247939643192453,0.033585951746478895
20to15,0.015739196938967148,0.01703347329577467,0.015964691887323922,0.013562176150234717,0.022931872666666697,0.018426025999999963,0.025841468347417896,0.03128385663849766
15to10,0.01353650015391088,0.014514555321684797,0.01386026632288071,0.011805449005890667,0.020694156595181146,0.01698600251067415,0.02372998255182035,0.0283859376580742
10to5,0.011003370499999998,0.011563873103773626,0.011273973500000012,0.009691351000000025,0.016706925235849067,0.014142937367924536,0.020116621264150925,0.023821815735849072
