,Time(ms),T1CA(v),T1CB(v),T1CC(v),T1CD(v),T1Therm(c),T2CA(v),T2CB(v),T2CC(v),T2CD(v),T2Therm(c)
0,877,30.0722204009481,32.44565622292468,34.50863771148761,33.95136502209196,24.18750734,33.48027515900087,38.30550495612506,30.96075924114947,27.367525529174273,23.35049128
1,2006,31.37673726302794,33.2042293812187,35.84553165508732,35.28629756009869,24.22581632,34.168492200032695,38.12616394526289,31.226821765962974,27.320864499934753,23.359616
2,3135,32.12973667815413,33.52622163851042,36.50134012483156,36.07144496557963,24.22328955,34.543843025379914,38.13628853666276,31.36113348755362,27.423340257242543,23.35668664
3,4264,32.68264742848953,33.80416640229343,36.97841722605327,36.685725266610234,24.22146811,35.023378681697196,39.1917590045139,31.59199551311136,27.390522486629443,23.35510946
4,5393,33.041252100529164,33.96224686376833,37.28419087570924,37.10917412882638,24.22129185,35.2953575904272,38.95790910891196,31.65447989642144,27.337206675606765,23.35477151
5,6522,33.186924076343495,33.95058589912862,37.33400501533989,37.3050029009744,24.22052808,35.38476368030355,38.70045343943612,31.642489528530927,27.36007909885737,23.35432091
6,7651,33.286506616035766,33.95487833371236,37.38731074881231,37.49498771009109,24.22005808,35.47014501166498,38.16643497104611,31.625447403535148,27.337375914060974,23.35372953
7,8780,33.475156506787364,34.01810604058884,37.47623049667282,37.67311605484035,24.22008745,35.56165137018726,39.49946468284372,31.660537367996387,27.41014065812319,23.35341976
8,9909,33.57755233873509,34.03050510997585,37.52655743770143,37.79329269541829,24.21967621,35.72055648855836,39.04042094301616,31.768541832509303,27.385801848077527,23.35305367
9,11038,33.57870576906272,33.979220820133406,37.52890256050861,37.86872562834697,24.21902999,35.74228147468162,38.65781332726079,31.699745132390163,27.344113483879323,23.35291287
10,12167,33.5950703269923,33.919466217398934,37.447991118157134,37.860296677328456,24.21900062,35.62124153388163,37.62126779692746,31.572073262899465,27.323960409404858,23.35260312
11,13296,33.59838539697073,33.88961029102187,37.466933248029335,37.89997389004057,24.21838379,35.60060873061826,39.19402523390694,31.584824975709868,27.449612416819065,23.35192731
12,14425,33.70618642782618,34.022259440906,37.57631216355118,38.10012007095652,24.21800195,35.77539192669404,39.341851715651174,31.695279370173306,27.421368528522123,23.35223705
13,15554,33.80982576479127,34.127350622238296,37.69755493890379,38.23659669679386,24.21767887,35.73441465779251,38.64716403286619,31.667438457472514,27.390652068085647,23.35130783
14,16683,33.84998326669532,34.120781365060026,37.69764823921166,38.256756342730895,24.21747327,35.707064355154635,38.437886401984514,31.59880072193379,27.32729584862945,23.35082916
15,17812,33.83063195322383,34.09647458783343,37.68781668555013,38.27174120591211,24.21691523,35.62287624485188,39.18792623977218,31.574217979757986,27.389415941976416,23.35068837
16,18941,33.82874641328013,34.058798529791986,37.68097128438794,38.31284820749531,24.2166509,35.73853208951961,39.35144467644098,31.693902354272,27.41400182148155,23.35051943
17,20070,33.94010563590619,34.200792454337815,37.80444694307754,38.466478767554904,24.2166509,35.79684226311123,38.806916202849166,31.696503597266787,27.404880094580655,23.35009709
18,21199,34.03380547205727,34.27095761609819,37.90610814368132,38.53735260391228,24.2166509,35.81681019035942,38.699006355924794,31.68069182203605,27.384176526803564,23.35004078
19,22328,34.07915577108187,34.32086750881834,37.89654241598652,38.599220627356786,24.21615162,35.897442975970954,39.42886390862154,31.761629795415807,27.433205790421756,23.34950582
20,23457,34.05579142840972,34.28212710295165,37.85350725998693,38.55000453852466,24.21644531,35.995848435213944,40.050617345260704,31.829912825288186,27.468536842554343,23.34998446
21,24586,34.11213217133287,34.33451933178599,37.92049579332056,38.62903423457258,24.21582856,36.346750579651825,40.45165285286267,32.09407413287505,27.501989684924293,23.35018156
22,25715,34.119167563177854,34.34122278457808,37.95132766615801,38.73710511319412,24.21571109,36.2859287713991,38.908293557756494,31.955500484018938,27.373791119454218,23.34998446
23,26844,34.12959736017588,34.33541566086086,37.94771215351727,38.690763454809954,24.21612225,36.055672131673354,38.37596717787936,31.75691077719312,27.309753872292898,23.35032234
24,27973,34.05807993757069,34.245447929335334,37.83899715844472,38.64861576995848,24.21553488,35.804639041823755,37.80375997097126,31.59760510847081,27.35866672934026,23.34950582
25,29102,34.01099091942482,34.15975082829055,37.75394456423472,38.511266782487006,24.21582856,35.74322846212209,38.35403048954411,31.609967201638682,27.399043597476822,23.34959029
26,30231,33.915736506131616,34.06377791246447,37.61728395086842,38.47520583637677,24.21582856,35.7137394819553,38.57573704857107,31.597036520273416,27.32671299158134,23.34961844
27,31360,33.95938708371324,34.10211446519227,37.65139204164204,38.46947201818664,24.21500626,35.57072269675271,38.36131437733608,31.53735828830952,27.38176927040684,23.34874565
28,32489,33.84297287179551,33.91990147715474,37.4664941349253,38.28900957813681,24.21550551,35.52972337107914,38.13223750735601,31.52436819890085,27.371502590728177,23.3490835
29,33618,33.74251264249213,33.81702047644474,37.401041648543114,38.244375973174115,24.21556425,35.84910018551923,40.34786446523786,31.836574910326128,27.51000468456851,23.34936505
30,34747,33.92593177964625,34.06618377922297,37.6716374870621,38.510010247951925,24.21509436,36.08930506233957,39.749516072379166,31.922107310564392,27.428979572457973,23.34936505
31,35876,33.99266796246996,34.203688861215916,37.74920069870628,38.59697870066704,24.21538804,36.04437137845291,38.54549833076982,31.812192012249017,27.3786822861597,23.3490835
32,37005,33.93247593328342,34.0779139765988,37.616788425209585,38.4670421983051,24.2152412,35.8468325158794,38.516809245922296,31.66565361708355,27.390356160177586,23.34913981
33,38134,33.951374768057235,34.11123151671508,37.64546152837994,38.52388168198651,24.21503562,35.811673892727754,38.66493395743028,31.660813028410647,27.386068812962897,23.34922427
34,39263,34.13698613404469,34.3419931763281,37.87959598085489,38.730047105887934,24.21535867,35.845265373784244,38.8177371210047,31.692535777735,27.420713289608813,23.34928058
35,40392,34.40375122412817,34.64639551629061,38.211727673281814,39.00907012013463,24.21597541,35.79854875006657,38.727608036030624,31.676950631418322,27.35980207361622,23.34930874
36,41521,34.412481250505664,34.58947731293115,38.12990152050584,38.92015014799733,24.21597541,35.69057874533903,38.50623891689996,31.57917184919085,27.34030849730848,23.34894273
37,42650,34.175812249099515,34.30758459890894,37.83451745428943,38.66624082439512,24.2158873,35.64909568940161,39.36109395335589,31.606036159206575,27.446448184202257,23.34953398
38,43779,34.254101289056905,34.4281104133285,37.96968463462662,38.83301808634995,24.21600477,35.785271265604166,38.98640219108421,31.689498821061964,27.441480587657736,23.34922427
39,44908,34.57115710316076,34.781713891505404,38.356418819577286,39.247003316812695,24.21597541,35.86074079263604,38.97756059994421,31.734422137202674,27.393640285859647,23.34925243
40,46037,34.67312967888478,34.875196499003536,38.4173864014963,39.27875374364979,24.21656279,35.84545637397544,38.852528707578685,31.706245878650055,27.428958904164723,23.34942136
41,47166,34.52084950334526,34.66479882503069,38.154339447950875,39.02393406441417,24.21682712,35.74285989699017,38.43954594794632,31.634792333425523,27.385653013424506,23.34959029
42,48295,34.34729134550588,34.46365198891702,37.965682894085774,38.83166028424117,24.2166509,35.679190474810966,38.153582915691274,31.63262370953031,27.379483949797425,23.34922427
43,49424,34.38459337443298,34.50978467731461,37.98714214771384,38.83569189059808,24.21703271,35.61059942002929,38.253776523769965,31.568833466905417,27.37644120307878,23.34956213
44,50553,34.36157964707111,34.495788649116264,37.9843350585211,38.8370909543104,24.21703271,35.57440470837705,38.86832175839207,31.553975546286573,27.37691187714618,23.34919612
45,51682,34.23612761887189,34.31549002980945,37.76714570383791,38.65116846553461,24.21717956,35.6127196020439,38.2278953940277,31.56910368943648,27.382177019784276,23.34950582
46,52811,34.04039370028322,34.123666530571256,37.561274689348835,38.43991270887737,24.21688586,35.72367005743986,38.63008036372683,31.68685328342551,27.488201485657136,23.34987184
47,53940,33.999799674275266,34.08170212500737,37.527296600089755,38.39769582219268,24.21703271,35.96837541591465,39.26410234650755,31.872705986897955,27.429580935185637,23.3501534
48,55069,33.92214427093545,33.99454407985958,37.40382005036555,38.27684056570578,24.2172383,35.90247462686065,37.79431280333233,31.735831296116746,27.35724670558917,23.35051943
49,56198,33.79534381110128,33.87338193258196,37.25621764764845,38.1286633527227,24.21750264,35.66799297567167,37.284812752927394,31.54959062899581,27.35171403511944,23.350801
50,57327,33.78096795422081,33.85546401547232,37.263364118644205,38.174309599778866,24.21703271,35.45657210560685,37.80909811112741,31.411220907251174,27.37882354038556,23.34998446
51,58456,33.93096021610657,34.01590061614169,37.4477318096162,38.34804377339116,24.21759075,35.59632736573586,39.63485327746566,31.573267911078872,27.419696021679467,23.35057574
52,59585,33.985762871988555,34.12547361572132,37.55804474104927,38.43978775541001,24.21759075,35.73662728693145,38.698120221006434,31.656129057564154,27.361369052244555,23.35094178
53,60714,34.12954525443704,34.249698770882794,37.65662355691246,38.54961736778977,24.21791384,35.64264917505628,38.14588155192724,31.558017586718805,27.352485110606093,23.35130783
54,61843,34.07574453995337,34.21628105149143,37.586972021079525,38.47579990130587,24.21856003,35.57650403267158,38.51314271304866,31.532010346006118,27.31300802548468,23.35181467
55,62972,34.08248236489287,34.22427530126423,37.56824788272189,38.479724008960176,24.2185894,35.554372636930694,38.6085351855055,31.504548229688336,27.41284979835303,23.35144862
56,64101,33.970242211257386,34.09969123042798,37.44098570169945,38.33290886242188,24.21853065,35.72229246723437,39.79281210255079,31.65700160361945,27.45392157787693,23.35184283
