,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,2.224607570918919,2.690590605783784,2.133650362918919,1.7502547197297298,2.4021299756756758,2.2173979213513513,2.809947502108108,3.0631408428648648
50,50,2.1329250171505376,2.5736570824193548,2.047330577903226,1.7109086012365593,2.1948511929032257,2.074124524677419,2.5200151424731185,2.647124822150538
45,45,1.924183217580645,2.280231486935484,1.8557203017204302,1.5938641877956987,1.8928400897311828,1.8292477162903227,2.147928562473118,2.2295735654301074
40,40,1.6771292962903226,1.9188387855376343,1.6262054103763441,1.4485482516129031,1.5840078312903227,1.5709507367741935,1.7794349737096775,1.8463181824731185
35,35,1.4241526820967743,1.5399984003225808,1.389141415107527,1.2969350825806452,1.2955057296774195,1.3260667666666668,1.4365731837634406,1.4996982031182797
30,30,1.182608552204301,1.171407658172043,1.1612403691935484,1.1514058584946236,1.0288716150000001,1.0978048801612903,1.1190876316666667,1.18463330016129
25,25,0.9485455071505375,0.81056427,0.9388811083333333,1.0088449085483873,0.7749521854301075,0.8789421245698925,0.8188503331182796,0.8942692206989249
20,20,0.7290243737634408,0.46815017774193546,0.7296979644086021,0.8747240799999999,0.543318454516129,0.6790177742473118,0.5411294613978495,0.6268849467741936
15,15,0.5149828362903225,0.13410234193548387,0.5243162055913979,0.7419296348924733,0.33025011043010755,0.49501707580645166,0.2830233800537635,0.3787573289247312
10,10,0.3235519340860215,0.0002161275806451613,0.33870825,0.6213041102688173,0.13953136994623655,0.33136606854838707,0.04703153634408602,0.15020096403225808
5,5,0.1360902656451613,0.00017856397849462367,0.1546472709139785,0.5029608432258065,0.001198157634408602,0.17504360537634409,0.0002402349462365591,0.0005124789247311828
