,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,53.52543153769126,52.89545492434433,53.41378415868257,52.923183577848384,55.81370354646925,55.373999320901014,56.33473211013771,57.52872409630605
50,50,50.5909109724432,50.32644884964695,50.443573568903986,50.45687210531801,50.71498149873356,50.561754407209506,50.78510789197168,50.912701281145715
45,45,46.37314576008908,46.4974693746133,46.36355258139489,46.56468882314654,45.57311756388821,45.7614146497286,45.246145019012744,44.61672232604573
40,40,40.82250566069737,41.15318455232931,40.91460569016561,41.0967659718358,39.77024351561979,40.07340773177548,39.44157341234411,38.69700227557374
35,35,35.12877486915419,35.49449504363979,35.25562469223218,35.409591775374736,34.05551982760577,34.32153486872274,33.82945145121032,33.21908216383097
30,30,29.513711900067694,29.84533391504483,29.6398995397558,29.746744984825686,28.772948817128174,28.98053312386043,28.638493550874916,28.177255401188894
25,25,24.038624089037697,24.306189127049034,24.15181088277041,24.176174887690905,23.645207088318678,23.736353140167854,23.649474313529932,23.47549189951029
20,20,19.066231142923556,19.20825900781493,19.133778487482083,19.11688067928295,18.990114458649302,18.98361727999531,19.070391899970492,19.12899297370274
15,15,14.536087007602058,14.501905727240597,14.538506205731112,14.50922687813648,14.766064519184608,14.704794321385803,14.87588530575096,15.095615005581843
10,10,10.111137502110438,9.913005687571836,10.037834122131775,9.958072114244972,10.777649099692912,10.628366025804185,10.903216560338212,11.331490269588862
5,5,6.2934395581836045,5.858253807173001,6.107030070750148,6.041798324268254,7.120450044342211,6.874225130449191,7.225528460672317,7.816922379986386
