,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,60.55602367476544,60.32048990234315,60.40367639289972,59.570582541803425,60.73477025699636,59.63447284134761,60.77310666052582,61.135696503240446
50,50,53.04067449212914,53.77952014792083,53.4075661258962,53.27071789380972,53.08963461884755,53.83161169446269,52.320859617079975,51.72903952729204
45,45,37.00176087409715,36.79301001492235,36.741573336924674,38.37382849562992,37.813157048238004,38.654310098996504,38.01411184723724,38.78553128510656
40,40,32.768285543789986,32.56285192754147,32.2905516522338,33.92044998505928,31.818782543074615,32.24849223055422,32.52811631195959,33.71294940659258
35,35,28.846255767256853,28.69118857413803,28.301209485676534,29.03412791633944,28.250862327418773,28.440207019087794,29.002742856542415,30.247220514758325
30,30,24.449775663993627,24.31655617767136,24.03006374499046,23.836611343809896,24.87515486550877,24.87142933489082,25.537330721746635,26.972653064028712
25,25,21.11273162255142,20.89748648726285,21.150598926307527,19.90354770335709,21.92159077698825,21.600994735874576,22.2771212298698,23.97557157276375
20,20,18.741448117527725,18.491480342278535,19.135861951783113,17.17945090936946,19.239371343484873,18.597280289916444,18.970604980883707,20.797206909637595
15,15,16.498382447819715,17.205305007610555,17.092673930350287,17.05594082255193,16.7190889761375,15.941905041833557,15.920917380028106,16.581557959338298
10,10,16.142447680690946,17.2047648081667,16.651545674419516,17.055925348247015,15.180223599349484,15.387740028389162,13.463539433736411,9.05772860206364
5,5,20.84221413144441,19.737346610144133,20.794678778518144,20.79881710803188,20.35736364395585,20.79155662739909,21.19154896039031,17.00484465517803
