,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55to50,0.09676139392468644,0.09777333132217576,0.08926851638493716,0.08889135638493721,0.10505862430125523,0.08594875146443508,0.10234548509623434,0.028899679464435214
50to45,0.20650373003347272,0.2539115369121338,0.21265365947280346,0.21019573887866114,0.20992769699581593,0.2247977488535565,0.17323571271966526,0.03976579993305433
45to40,0.054506712083682005,0.0632317016820084,0.056793859305439384,0.06283735896234308,0.08237404394979078,0.09487941102928872,0.06642811922175733,0.015584281506276155
40to35,0.05049679781589957,0.05787298184100416,0.050902950778242625,0.06894621086192473,0.049029972418410006,0.05640620219246857,0.04268759000836821,0.010647614167364062
35to30,0.05660542615062758,0.06539127969874481,0.054498689841004165,0.07333717846025103,0.04638860561506277,0.05285874992468618,0.04196153805857743,0.010060316853556373
30to25,0.04296500737238494,0.051107686811715444,0.036741209405857754,0.05549569415899582,0.04058755718828453,0.04843985810041843,0.03947680661087867,0.0092078083263599
25to20,0.030530676853556482,0.0359645809121339,0.025707510853556492,0.03843712087029289,0.036858768384937214,0.04448934755648535,0.04003751993305439,0.00976475704602513
20to15,0.028879850502092054,0.019225535640167365,0.02607053868619246,0.0017427325439330547,0.03463344679497909,0.03932994112133892,0.036927666133891215,0.01295156225104599
15to10,0.004582720426778236,8.074811715481163e-06,0.005628679857740582,2.1834309623430717e-07,0.0211469210125523,0.008207983924686192,0.0297555829456067,0.023115146786610863
10to5,-0.060510289255230124,-0.037856612845188285,-0.05286528246025104,-0.052812360887029286,-0.07114369667782428,-0.08003832558995816,-0.09357593072803345,-0.02441559282845185
