,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,2.3239819245188285,2.9494096833054395,2.3685213841841,2.0779116668200834,2.5617682102928874,2.234937872301255,2.8961272135983265,3.167148337991632
50,50,2.3868422781171548,3.04037523330544,2.4206355591213384,2.150284620878661,2.5701143081171547,2.306188124644351,2.8278279920083675,2.9157906827615063
45,45,2.2537274526359834,2.845147606945607,2.279991468702929,2.041680841422594,2.3793529480753133,2.1740690202928867,2.574737891338912,2.6040302633054395
40,40,2.0632813512552297,2.555905298451883,2.0810148096652714,1.8783447500836823,2.1516780422594137,2.00107582209205,2.292154821380753,2.29453309665272
35,35,1.8559268599581589,2.2354428214225943,1.8636459057322177,1.6977306625941424,1.916163928242678,1.8150899162343095,2.0071289351464436,1.9984789841422597
30,30,1.6469736425523014,1.908344488953975,1.643831331631799,1.514686660753138,1.6824539189958159,1.6265058968619248,1.7278062391631799,1.717507636945607
25,25,1.4428435260669457,1.5862236140585775,1.4281074379079497,1.3345525133054392,1.4579814846443515,1.4433657182426778,1.4598961155230123,1.4524067588284517
20,20,1.24604898665272,1.2743980961087868,1.2198159279497907,1.1601460056066946,1.242988778870293,1.2670411545188285,1.2039648080753138,1.2026440027615062
15,15,1.0565523107112968,0.973636570753138,1.0185520920083682,0.9905114446443514,1.0386991348535564,1.0986922256903766,0.9603529383263598,0.9670820174895396
10,10,0.8844865187029289,0.6965439766527198,0.8352354156903765,0.8371918658577407,0.846778239790795,0.940166050627615,0.7311730071129708,0.7466290735564853
5,5,0.7275018903765691,0.4405088061087866,0.6665102606276151,0.6968247930543933,0.6645510218828452,0.7888804468200838,0.5128852448117155,0.5390945432217573
