,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55to50,-0.012572070719665263,-0.018193110000000078,-0.010422834987447694,-0.014474590811715515,-0.0016692195648534635,-0.014250050468619158,0.013659844317991787,0.05027153104602515
50to45,0.026622965096234276,0.039045525271966586,0.02812881808368193,0.02172075589121336,0.03815227200836828,0.026423820870292845,0.05061802013389114,0.06235208389121336
45to40,0.038089220276150734,0.05784846169874482,0.039795331807531475,0.032667218267782384,0.04553498116317991,0.034598639640167315,0.05651661399163173,0.06189943333054391
40to35,0.04147089825941417,0.06409249540585771,0.04347378078661075,0.03612281749790798,0.04710282280334717,0.03719718117154813,0.05700517724686192,0.059210822502092066
35to30,0.041790643481171494,0.06541966649372388,0.04396291482008374,0.03660880036820089,0.046742001849372404,0.037716803874476935,0.055864539196652754,0.05619426943933052
30to25,0.04082602329707115,0.06442417497907948,0.04314477874476985,0.036026829489539745,0.04489448687029287,0.03662803572384941,0.05358202472803351,0.053020175623431066
25to20,0.03935890788284513,0.06236510358995813,0.041658301991631806,0.03488130153974893,0.04299854115481172,0.03526491274476986,0.05118626148953971,0.04995255121338911
20to15,0.03789933518828463,0.060152305071129765,0.0402527671882845,0.03392691219246864,0.04085792880334731,0.03366978576569037,0.0487223739497908,0.04711239705439332
15to10,0.03441315840167358,0.05541851882008364,0.03666333526359833,0.030663915757322125,0.03838417901255227,0.03170523501255231,0.0458359862426778,0.04409058878661085
10to5,0.03139692566527197,0.051207034108786645,0.03374503101255229,0.028073414560669495,0.036445443581589965,0.03025712076150624,0.04365755246025107,0.041506906066945605
