,Time(ms),BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T1Therm(c),T2CA(v),T2CB(v),T2CC(v),T2CD(v),T2Therm(c)
12215,13800998,42,1.16830219,1.16439346,1.13603157,1.09980698,28.53702431,1.11993206,1.15204886,1.10869485,1.11664528,27.28406934
12216,13802127,42,1.16683248,1.16213658,1.13460199,1.09877905,28.53651822,1.11912206,1.15183997,1.10843797,1.11681798,27.28270729
12217,13803256,42,1.16710943,1.16287733,1.13548357,1.09916142,28.5352892,1.12031364,1.15268065,1.10914961,1.11680067,27.28240085
12218,13804385,42,1.16648079,1.16231164,1.13437067,1.09842381,28.53471087,1.11950641,1.15114918,1.10770783,1.11647612,27.28131129
12219,13805514,42,1.16583602,1.16130928,1.13364919,1.09772712,28.53337353,1.1189592,1.15043124,1.10737227,1.11654221,27.28008561
12220,13806643,42,1.16452839,1.16012281,1.13305714,1.09713467,28.53272296,1.11855991,1.14982738,1.10736952,1.11655834,27.27886
12221,13807772,42,1.16500282,1.16073217,1.13347925,1.09791555,28.53189171,1.11906778,1.15062597,1.10827156,1.11680657,27.27753234
12222,13808901,42,1.16646938,1.1631232,1.13524085,1.09949305,28.53001248,1.11971766,1.151124,1.10951035,1.11716495,27.27777063
12223,13810030,42,1.16839503,1.16570896,1.13764093,1.10215158,28.52972338,1.12111773,1.15251582,1.11049225,1.11757604,27.27538783
12224,13811159,42,1.16859448,1.16504728,1.13727704,1.1013231,28.5287477,1.12170035,1.15304768,1.11019642,1.11702136,27.27443478
12225,13812288,42,1.16836002,1.16519283,1.13682346,1.10132782,28.52719395,1.12170271,1.15278529,1.11060122,1.11742655,27.27429864
12226,13813417,42,1.16800636,1.16359566,1.13535848,1.09935261,28.52690489,1.12176211,1.15289977,1.11035535,1.11714803,27.27181414
12227,13814546,42,1.1638671,1.15889307,1.13014408,1.09527866,28.52545965,1.12154889,1.15341707,1.11012797,1.11748949,27.27215446
12228,13815675,42,1.16201895,1.15727702,1.12868775,1.09378023,28.52441192,1.12193284,1.1537011,1.11081247,1.11789193,27.27109947
12229,13816804,42,1.16338087,1.15919087,1.13128924,1.09529439,28.5241229,1.12263268,1.15462714,1.11192302,1.11848556,27.26898965
12230,13817933,42,1.16553862,1.16083721,1.13272748,1.09670745,28.52195537,1.1231374,1.15525932,1.11229556,1.11834472,27.26932993
12231,13819062,42,1.16494224,1.16046152,1.13269404,1.0970202,28.52213599,1.12253551,1.15422549,1.1106504,1.11767557,27.26752652
12232,13820191,42,1.16560314,1.16113383,1.13327311,1.09760005,28.52116067,1.12184118,1.15333682,1.11032978,1.11768894,27.26708419
12233,13821320,42,1.16626482,1.16195955,1.13408153,1.09787936,28.51971583,1.1221378,1.15345169,1.1104242,1.11741672,27.26715224
12234,13822449,42,1.16474791,1.16009291,1.13256619,1.09605482,28.51953523,1.12099736,1.15261495,1.10976527,1.11744307,27.26453251
12235,13823578,42,1.16515192,1.16001738,1.1320296,1.09610163,28.51805439,1.12011026,1.15172904,1.10872082,1.11711105,27.26490673
12236,13824707,42,1.16601659,1.16085216,1.13299263,1.09727826,28.51689868,1.11704968,1.14893596,1.10565788,1.11608942,27.26303566
12237,13825836,42,1.16529236,1.16153272,1.13321922,1.09749069,28.5174043,1.11462404,1.14591748,1.10462483,1.11633371,27.26113075
12238,13826965,42,1.16507049,1.16016412,1.13154298,1.09616379,28.51567081,1.11548202,1.14649419,1.10571964,1.1175662,27.26133484
12239,13828094,42,1.16560628,1.16166372,1.13271765,1.09683963,28.51469579,1.11776565,1.14827349,1.10834827,1.11839744,27.25980421
12240,13829223,42,1.16802918,1.16327348,1.13416729,1.09810123,28.51379303,1.11904103,1.15007601,1.10967675,1.11784945,27.25857979
12241,13830352,42,1.16772273,1.16289976,1.1339344,1.09811461,28.5123487,1.11883135,1.15026326,1.10877668,1.11733135,27.25868182
12242,13831481,42,1.16652052,1.16119401,1.13228413,1.09718857,28.51227648,1.11891121,1.14960237,1.10838053,1.1177507,27.25636921
12243,13832610,42,1.16591864,1.16060117,1.13186477,1.0968715,28.5103268,1.11976172,1.14999694,1.10945016,1.11796982,27.2558251
12244,13833739,42,1.16612595,1.1621767,1.13300049,1.09796788,28.50927982,1.12077273,1.1511417,1.11000445,1.11846982,27.2544649
12245,13834912,42,1.16721053,1.16339386,1.13448358,1.09962169,28.48067055,1.12107053,1.15272982,1.11037266,1.11815314,27.2824349
12246,13836041,42,1.16782855,1.16361258,1.1349285,1.09989313,28.48049029,1.12108154,1.15262361,1.11043324,1.11799028,27.28052821
12247,13837170,42,1.16823571,1.16414484,1.13556186,1.10003632,28.50426226,1.12115471,1.15211141,1.10989273,1.11798241,27.27729405
12248,13838299,42,1.1689922,1.16452131,1.13527193,1.10027236,28.50393743,1.12110239,1.15161613,1.11003513,1.11812167,27.27443478
12249,13839428,42,1.16846387,1.16380219,1.13486477,1.09920352,28.5023855,1.12105283,1.15209017,1.10925583,1.1181559,27.27474112
12250,13840557,42,1.16708543,1.16282816,1.13406265,1.09897732,28.50173589,1.12112836,1.15234981,1.10966377,1.11843914,27.27252883
12251,13841686,42,1.16760235,1.16228803,1.13387225,1.09884907,28.5002563,1.12121097,1.15263226,1.11002805,1.11846274,27.27307337
12252,13842815,42,1.16776403,1.16235609,1.13460946,1.09912641,28.4997511,1.12154889,1.15287498,1.11037935,1.11842419,27.27001051
12253,13843944,42,1.16831793,1.16272548,1.13443283,1.09900013,28.49834381,1.12152765,1.15273061,1.11027589,1.11811931,27.27072513
12254,13845073,42,1.16813657,1.16260275,1.13454612,1.09937897,28.49848814,1.12083725,1.15220858,1.10990649,1.11818619,27.26871743
12255,13846202,42,1.16722627,1.16254413,1.13431599,1.09964844,28.49632326,1.12077706,1.15177585,1.10978454,1.11838485,27.26841119
12256,13847331,42,1.16710038,1.16246231,1.13505321,1.09941791,28.49650366,1.12131679,1.1517314,1.11024088,1.11849579,27.2662336
12257,13848460,42,1.16839228,1.16453351,1.13618932,1.10107566,28.49390607,1.12223614,1.15281597,1.11180146,1.11919091,27.26670993
12258,13849589,42,1.16989149,1.16683288,1.13913699,1.10294505,28.49466366,1.12324126,1.15385964,1.11223065,1.11900995,27.26466859
12259,13850718,42,1.17161297,1.1680992,1.14095997,1.10439352,28.49278776,1.12196746,1.15298513,1.1105371,1.1185127,27.26337585
12260,13851847,42,1.17398708,1.17093004,1.14305674,1.10657605,28.49127272,1.12207839,1.15301778,1.11071491,1.11907997,27.26317174
12261,13852976,42,1.174242,1.17142847,1.14317003,1.10723813,28.4913088,1.12152725,1.15370818,1.11002569,1.11936164,27.26092666
12262,13854105,42,1.17429943,1.17128842,1.14211024,1.10670429,28.48979387,1.12205558,1.15434194,1.11083529,1.11933764,27.26116476
12263,13855234,42,1.17355042,1.16932501,1.14059726,1.1058054,28.48928892,1.12143048,1.1536181,1.11067203,1.1190902,27.25960013
12264,13856363,42,1.17053272,1.16559173,1.13662834,1.1021984,28.48885611,1.11921923,1.15083997,1.10830067,1.11765078,27.25888589
12265,13857492,42,1.16560078,1.15947608,1.13170348,1.09733727,28.48665615,1.11641396,1.1480111,1.106198,1.11778296,27.25820567
12266,13858621,42,1.16266923,1.15747175,1.13007563,1.09562917,28.48643978,1.11599185,1.14753431,1.1072039,1.11890177,27.2558251
12267,13859750,42,1.16343673,1.15913776,1.13202685,1.09654419,28.4849252,1.11841003,1.14916649,1.10880225,1.11946589,27.25643722
12268,13860879,42,1.16495562,1.15930495,1.13188012,1.09602846,28.48463672,1.11911026,1.14983329,1.1090131,1.11853552,27.2544989
12269,13862008,42,1.16236711,1.15591511,1.12927784,1.09371375,28.48218482,1.11869169,1.14918065,1.10866613,1.11896982,27.25385284
12270,13863137,42,1.16132226,1.15468969,1.12802764,1.09245765,28.48149978,1.11918186,1.15014564,1.10927707,1.11903591,27.25171076
12271,13864266,42,1.15956026,1.15344619,1.12659688,1.091842,28.4797332,1.11937973,1.14942455,1.10860319,1.11876644,27.25109878
12272,13865395,42,1.15882305,1.15336043,1.12681915,1.09115041,28.47948084,1.11887423,1.14962754,1.10862522,1.11918422,27.24960289
12273,13866524,42,1.15954492,1.15474123,1.12834747,1.09242382,28.47811096,1.11892262,1.14978569,1.10957683,1.119471,27.24929693
12274,13867653,42,1.16145995,1.1566358,1.13059098,1.09423617,28.47735396,1.12007446,1.15039033,1.10974953,1.11973615,27.2476992
12275,13868782,42,1.16248984,1.15712517,1.13067359,1.09463664,28.47620049,1.12058823,1.15124477,1.11036007,1.11959649,27.24654347
12276,13869911,42,1.16257324,1.15735767,1.13040962,1.09388369,28.47551564,1.12170074,1.15201503,1.1107216,1.11991514,27.24616957
12277,13871040,42,1.1617007,1.15547097,1.12851977,1.09176292,28.47436227,1.12172277,1.15259686,1.11048124,1.11943206,27.24525185
12278,13872169,42,1.15840684,1.15096232,1.12375463,1.08795136,28.47281252,1.12102686,1.15168734,1.10987424,1.11939114,27.24436815
12279,13873298,42,1.15257286,1.14519521,1.11799264,1.08261462,28.47230798,1.11966691,1.15084666,1.10900996,1.11900955,27.21909669
12280,13874427,42,1.14735807,1.13992417,1.11296629,1.07787702,28.46982148,1.11897258,1.14983761,1.10880539,1.11928532,27.21828199
12281,13875556,42,1.14527625,1.1374281,1.11164292,1.07649622,28.46996562,1.11795723,1.14878018,1.1089954,1.11933174,27.2157702
12282,13876685,42,1.14558113,1.13767555,1.11259847,1.07667443,28.46812794,1.1169474,1.14733211,1.10772829,1.11876959,27.21587203
12283,13877814,42,1.14409293,1.13589939,1.109912,1.07465948,28.46715512,1.1141205,1.14489073,1.1054541,1.11837069,27.21549868
12284,13878943,42,1.14203392,1.13381757,1.10704064,1.07234398,28.46690292,1.11347966,1.14396311,1.10484906,1.11841632,27.2131569
12285,13880072,42,1.13971174,1.1315123,1.10617282,1.07096279,28.46420091,1.11282821,1.14324439,1.10461578,1.11871372,27.21319084
12286,13881201,42,1.14267397,1.1349938,1.10994741,1.07378497,28.46330031,1.11337109,1.14392731,1.10566771,1.11926605,27.21091719
