,Time(ms),BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T1Therm(c),T2CA(v),T2CB(v),T2CC(v),T2CD(v),T2Therm(c)
10624,12001120,42,1.31420213,1.33032131,1.28073835,1.22331433,26.1249219,1.30995312,1.29243386,1.31182723,1.38454864,24.91441463
10625,12002249,42,1.31349678,1.32936734,1.28044724,1.22232456,26.12389122,1.31154478,1.29350624,1.31316437,1.3854558,24.9139893
10626,12003378,42,1.31484611,1.33187088,1.28224543,1.22445163,26.12488969,1.3146026,1.29609475,1.31627845,1.38622291,24.91356398
10627,12004507,42,1.31677254,1.33434491,1.28453536,1.22659442,26.12411668,1.31770409,1.29947044,1.31810771,1.38658444,24.91307791
10628,12005636,42,1.31845665,1.33616906,1.28627533,1.22792408,26.12402006,1.31911558,1.30142795,1.31913053,1.38673156,24.91420196
10629,12006765,42,1.31987679,1.3378571,1.2877946,1.22977184,26.12482528,1.3199771,1.30336618,1.31981739,1.38675635,24.91341208
10630,12007894,42,1.32104949,1.3391667,1.28990554,1.2305598,26.12408447,1.32141337,1.30455737,1.32020802,1.38656949,24.91468806
10631,12009023,42,1.32194839,1.34011241,1.29100939,1.23106492,26.12453539,1.32082447,1.30448223,1.32016318,1.38646327,24.91438425
10632,12010152,42,1.3228819,1.33960533,1.29056447,1.23160347,26.12459981,1.32013879,1.30331898,1.31924815,1.3856584,24.91435387
10633,12011281,42,1.32071943,1.33744365,1.28822812,1.23021834,26.12382681,1.31740079,1.30075446,1.31702904,1.3854735,24.91417158
10634,12012410,42,1.32065806,1.33744483,1.2875865,1.22995988,26.12572716,1.31844367,1.30153613,1.31755382,1.38612653,24.91459692
10635,12013539,42,1.32118442,1.33730164,1.28781624,1.23021637,26.12421331,1.31926428,1.30212464,1.31831031,1.38649317,24.91502226
10636,12014668,42,1.32103965,1.33713208,1.28887013,1.23038002,26.12440656,1.31927884,1.30302511,1.31887482,1.38653998,24.91350322
10637,12015797,42,1.32116003,1.33702508,1.28899838,1.22993864,26.12402006,1.31827215,1.30170883,1.31747121,1.38559506,24.91395892
10638,12016926,42,1.3177218,1.33301368,1.28456054,1.22590638,26.12363356,1.31556759,1.29978161,1.31519741,1.38509899,24.9139893
10639,12018055,42,1.31344603,1.32809,1.27962978,1.22191701,26.12331149,1.31397711,1.29724542,1.31389647,1.38490584,24.91247033
10640,12019184,42,1.31165689,1.32698693,1.27816755,1.22018216,26.12311825,1.31295784,1.29582921,1.31362188,1.38533385,24.91295639
10641,12020313,42,1.31117538,1.3267922,1.27851019,1.22014321,26.12202324,1.31303061,1.29584613,1.31463761,1.38584132,24.91335132
10642,12021442,42,1.31253573,1.32917143,1.28008808,1.22164832,26.12286059,1.31510496,1.29774503,1.31649914,1.38580906,24.91247033
10643,12022571,42,1.31285949,1.32901604,1.28033552,1.22219868,26.12205545,1.31487679,1.2977525,1.31597908,1.38588263,24.91177165
10644,12023700,42,1.31452589,1.33090432,1.28130405,1.22318333,26.12257074,1.3152635,1.29766438,1.3154956,1.38530159,24.9135336
10645,12024829,42,1.31377766,1.33111989,1.28222655,1.22315619,26.1223453,1.3144956,1.29767028,1.3155133,1.38576579,24.91165014
10646,12025958,42,1.31385201,1.33094877,1.28184811,1.22347208,26.12224868,1.31404123,1.29647477,1.31513761,1.38492944,24.91177165
10647,12027087,42,1.31215178,1.32849362,1.27947557,1.22176319,26.1217656,1.31089175,1.29335479,1.3119838,1.38419616,24.91316904
10648,12028216,42,1.3126388,1.32929417,1.28088233,1.22233676,26.12150797,1.31044486,1.29332607,1.31227058,1.38536729,24.91198429
10649,12029345,42,1.31574461,1.33290943,1.28428752,1.22537137,26.12202324,1.31432447,1.29682646,1.3163406,1.38671347,24.91165014
10650,12030474,42,1.31838191,1.33636733,1.28815967,1.22888986,26.12186222,1.31759158,1.30090631,1.31971196,1.38721976,24.9135336
10651,12031603,42,1.32024304,1.33864231,1.29005424,1.23064399,26.12125034,1.3193347,1.30245706,1.32004359,1.3865329,24.91140712
10652,12032774,42,1.32095271,1.33941729,1.29017107,1.23154879,26.12363356,1.31965413,1.30249128,1.31964666,1.38672055,24.89018477
10653,12033903,42,1.32276428,1.34139841,1.29125329,1.23312392,26.12408447,1.3204594,1.30362779,1.32021235,1.38695776,24.89009373
10654,12035032,42,1.32331345,1.34167024,1.29114157,1.23312038,26.12466423,1.32024618,1.30293031,1.31962817,1.38605257,24.8896689
10655,12036161,42,1.32041652,1.33762658,1.28679146,1.22862039,26.12430993,1.31717813,1.3004366,1.3168166,1.38479726,24.88997235
10656,12037290,42,1.31685673,1.3329645,1.28291105,1.22479388,26.12366577,1.31518836,1.29892402,1.3158288,1.38563519,24.91256147
10657,12038419,42,1.31643895,1.33260022,1.28371475,1.22505863,26.12395564,1.31706483,1.29935242,1.31721393,1.38635234,24.91189316
10658,12039548,42,1.31795586,1.33481934,1.28530916,1.2267329,26.12421331,1.31872101,1.30170332,1.3183111,1.38671426,24.91152863
10659,12040677,42,1.31884139,1.33551879,1.28654519,1.22763062,26.1237946,1.31861873,1.30165336,1.31859355,1.3861163,24.91247033
10660,12041806,42,1.31758214,1.33420172,1.28505149,1.22648034,26.1237946,1.31730874,1.30004046,1.31707467,1.38549002,24.91174127
10661,12042935,42,1.31767656,1.33414625,1.28511561,1.22655272,26.12424551,1.31630638,1.29938035,1.31701409,1.38619498,24.91119449
10662,12044064,42,1.31788387,1.33462107,1.28589256,1.22675847,26.12311825,1.31634375,1.29948893,1.31723714,1.38606988,24.91177165
10663,12045193,42,1.31876507,1.33626623,1.28711443,1.22801811,26.12340811,1.31783195,1.30029066,1.31852392,1.38641528,24.91192353
10664,12046322,42,1.31975838,1.33720447,1.28793976,1.22862747,26.12411668,1.31807899,1.30105187,1.31882054,1.38620796,24.9109211
10665,12047451,42,1.32088112,1.33932799,1.28974149,1.23078994,26.12331149,1.31967262,1.30221394,1.3198642,1.38668042,24.9118324
10666,12048580,42,1.32192242,1.34025836,1.29115809,1.2318576,26.12276397,1.32079418,1.3029905,1.32036735,1.38681575,24.91165014
10667,12049709,42,1.32303139,1.34171076,1.29246218,1.23319867,26.12373018,1.3216978,1.30454282,1.32084374,1.38687594,24.91073885
10668,12050838,42,1.32403178,1.34205498,1.29183905,1.23323092,26.12276397,1.32061558,1.30320135,1.31953218,1.38597429,24.91110336
10669,12051967,42,1.32286538,1.33990706,1.28940357,1.23135917,26.1223775,1.31881031,1.30172299,1.31781346,1.38591961,24.91131599
10670,12053096,42,1.32191141,1.33959196,1.28930326,1.23123879,26.12369798,1.31943187,1.30236815,1.31872966,1.38633739,24.91086035
10671,12054225,42,1.32086577,1.33908684,1.28781703,1.23013415,26.12295721,1.31925169,1.30202748,1.31813564,1.38597547,24.91016172
10672,12055354,42,1.31990669,1.33767024,1.28698264,1.2296133,26.1217656,1.31817852,1.30078554,1.31759748,1.38613794,24.91131599
10673,12056483,42,1.32021039,1.33818913,1.28823677,1.23048191,26.12286059,1.31894367,1.30145116,1.31816318,1.38675714,24.9106781
10674,12057612,42,1.32099009,1.33978039,1.28933473,1.23145359,26.12385902,1.31984807,1.30257075,1.31945311,1.38649828,24.91070847
10675,12058741,42,1.32053297,1.33927646,1.28893032,1.23054918,26.12208765,1.31923674,1.30246532,1.31914115,1.38648452,24.91082998
10676,12059870,42,1.32049638,1.33914074,1.28898815,1.2309469,26.12205545,1.32015649,1.30328436,1.31996452,1.38704313,24.91058697
10677,12060999,42,1.32138072,1.33917142,1.28879067,1.23073997,26.12298942,1.32076782,1.3038178,1.3201502,1.38634762,24.9100706
10678,12062128,42,1.32089882,1.33870722,1.28795865,1.22997168,26.1223775,1.31982368,1.30263605,1.31881109,1.38561001,24.91113374
10679,12063257,42,1.31849835,1.33632642,1.28405031,1.22706453,26.12231309,1.31819898,1.30083786,1.31725248,1.38573707,24.91037434
10680,12064386,42,1.31698891,1.33498929,1.28389649,1.22622975,26.12240971,1.31834021,1.30115336,1.31814469,1.38641449,24.90988835
