,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,1.251414545862069,1.4290486931034483,1.5622946872100314,1.604203068244514,1.53742257153605,1.6634400614420064,1.5673843740125393,1.5256432086520377
50,50,1.112017410846395,1.2360197283385579,1.3928142851097178,1.454374553322884,1.3473865039498434,1.5048440380250785,1.385800025047022,1.3280073947648903
45,45,1.682115409717868,1.9059526491536047,1.9673746732915363,1.927546819090909,2.021118634231975,2.036596238369906,2.0804633570846396,2.2017654819435735
40,40,1.7167894107943926,1.933467477102804,1.9943880821495326,1.9626381237850468,2.040858153130841,2.062552048738318,2.0828024225233643,2.1640563688317753
35,35,,,,,,,,
30,30,,,,,,,,
25,25,,,,,,,,
20,20,,,,,,,,
15,15,,,,,,,,
10,10,,,,,,,,
5,5,,,,,,,,
