,Time(ms),BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T1Therm(c),T2CA(v),T2CB(v),T2CC(v),T2CD(v),T2Therm(c)
1434,1620519,55,1.26499896,1.45233592,1.5859738700000001,1.62810011,24.82828196,1.55834644,1.6845796,1.58383422,1.52901444,23.6300116
1435,1621648,55,1.26495844,1.45235244,1.58587277,1.62856903,24.82949218,1.55890151,1.68559415,1.58343375,1.52897314,23.62912678
1436,1622777,55,1.26503791,1.45126196,1.58480471,1.62729759,24.82810044,1.55907972,1.6854871500000002,1.58329449,1.52894678,23.629612
1437,1623906,55,1.26267756,1.4484086999999999,1.5816001499999999,1.62480782,24.82822146,1.55891095,1.6852216100000001,1.58266624,1.52843498,23.62904116
1438,1625035,55,1.2630253200000001,1.44925685,1.58175751,1.6254278100000001,24.82791891,1.5553968,1.68124915,1.57858403,1.5266466300000001,23.62841325
1439,1626164,55,1.2648746499999999,1.4522537,1.58418748,1.62804346,24.82710207,1.55095345,1.6766390100000002,1.5755116500000002,1.52669462,23.62818492
1440,1627293,55,1.26648401,1.45441066,1.58654193,1.62895259,24.82752561,1.5510844499999998,1.67656033,1.57695539,1.52740351,23.62727165
1441,1628422,55,1.26719841,1.45435834,1.58706396,1.62962292,24.82628526,1.5527941200000002,1.67789117,1.57871267,1.52790076,23.62715749
1442,1629583,55,1.2670796,1.45432726,1.58702816,1.62946006,24.84792652,1.55413362,1.67937504,1.5800419300000001,1.5286344299999999,23.60294213
1443,1630712,55,1.26664845,1.4527686499999999,1.58581573,1.62859972,24.84792652,1.55468673,1.68044546,1.5802213200000002,1.52864938,23.60185896
1444,1631841,55,1.26586993,1.45174426,1.58480432,1.62743174,24.8485322,1.5557984500000002,1.6817641,1.58131377,1.5285415900000001,23.602201
1445,1632970,55,1.2656354699999999,1.45113686,1.58375436,1.62650255,24.84671522,1.55607343,1.68206898,1.58113831,1.5286781,23.60228652
1446,1634099,55,1.2653656,1.45102907,1.58403721,1.62637981,24.84698776,1.5573960100000002,1.6824946299999999,1.5809203699999999,1.52852231,23.60154542
1447,1635228,55,1.2661276,1.45300547,1.58505098,1.62773386,24.84719973,1.55673275,1.68218582,1.58003721,1.5279837600000001,23.60111787
1448,1636357,55,1.26893955,1.45721514,1.58865837,1.63093842,24.84753284,1.55576855,1.6812416799999998,1.5798153400000001,1.52803451,23.60080434
1449,1637486,55,1.27215041,1.46011679,1.59239715,1.63432984,24.84641241,1.55593849,1.6809914799999999,1.58014028,1.52855732,23.60128889
1450,1638615,55,1.27455403,1.46234614,1.5947276000000001,1.63682276,24.84601876,1.55663637,1.68213743,1.58079803,1.52857935,23.60054782
1451,1639744,55,1.27570115,1.46330758,1.59514813,1.63733771,24.84617016,1.55703133,1.6826330999999999,1.58128387,1.5286529199999999,23.59977828
1452,1640873,55,1.27583491,1.46268563,1.5946981,1.63685187,24.8465941,1.5576525,1.68323892,1.5820537300000002,1.52861043,23.59972128
1453,1642002,55,1.27521689,1.46169075,1.59375278,1.63638964,24.84662438,1.55772606,1.68356544,1.58153682,1.52833349,23.59972128
1454,1643131,55,1.27312877,1.45917147,1.59142863,1.6343888500000001,24.84577651,1.55768318,1.68319408,1.58134917,1.5284078399999999,23.59980678
1455,1644260,55,1.27028062,1.45626038,1.5876147,1.631416,24.84483785,1.55727996,1.68312759,1.58124492,1.5282674,23.59937927
1456,1645389,55,1.26727276,1.45171121,1.58400534,1.62762411,24.84514064,1.55704077,1.6830021,1.58047506,1.52818006,23.59912277
1457,1646518,55,1.26441714,1.44867738,1.5811540499999999,1.6239498399999999,24.84492869,1.5560596599999998,1.68201036,1.57935586,1.5279873,23.59821078
1458,1647647,55,1.26263075,1.44590477,1.57889127,1.62128894,24.84459562,1.55488735,1.68103712,1.57956829,1.5276006,23.59841028
1459,1648776,55,1.2597055,1.44295355,1.5759050399999999,1.61868981,24.84329369,1.55391843,1.68030108,1.57867333,1.527815,23.5978973
1460,1649905,55,1.25848953,1.44159871,1.5746753,1.6178452,24.84323313,1.55362968,1.67956072,1.57812691,1.52720839,23.5967574
1461,1651034,55,1.2587263499999999,1.44242365,1.57476617,1.61815637,24.84299092,1.5529219699999999,1.6781504200000001,1.5774199800000002,1.5272249100000002,23.59644393
1462,1652163,55,1.25856348,1.44258022,1.57517451,1.6180733699999998,24.84177991,1.55175006,1.67687032,1.5766277,1.52683703,23.59727034
1463,1653292,55,1.2582527,1.44307511,1.5757779699999999,1.6182039700000002,24.84247623,1.5503669,1.67586639,1.57546405,1.52657975,23.59587401
1464,1654421,55,1.25770825,1.44308966,1.5752508299999999,1.61797659,24.84268816,1.55001757,1.67469605,1.5750742,1.52670957,23.59564605
1465,1655550,55,1.25786089,1.44272696,1.5748161299999999,1.61727636,24.84153772,1.5496560499999998,1.67523421,1.5751709699999998,1.5264696,23.59630145
1466,1656679,55,1.25795963,1.44276669,1.5741753,1.61660995,24.84108361,1.54601679,1.671866,1.57175555,1.5252752699999998,23.59561756
1467,1657808,55,1.2571791399999999,1.4412124,1.57287278,1.61544355,24.84141662,1.5444337799999999,1.6698427900000001,1.5711076400000001,1.5258685,23.59430682
1468,1658937,55,1.25676254,1.44041854,1.5724849,1.6149349,24.84093225,1.54527407,1.67074759,1.57228152,1.52672137,23.5943923
1469,1660066,55,1.25673264,1.44063687,1.5727728600000002,1.6152507900000002,24.83996353,1.54716628,1.67243996,1.5736851299999999,1.52683034,23.59456326
1470,1661195,55,1.25569448,1.43928794,1.5711811999999998,1.6139109,24.84065979,1.5482823300000002,1.6738184,1.57520952,1.52718832,23.59350902
1471,1662324,55,1.25369842,1.43724034,1.56982007,1.6125639299999999,24.84008462,1.5497555699999999,1.6752106100000002,1.57636176,1.5271049300000001,23.59273974
1472,1663453,55,1.2537763100000001,1.43788629,1.57043927,1.61358753,24.83848027,1.54904078,1.6742515199999999,1.57510724,1.52675481,23.59313862
1473,1664582,55,1.25465515,1.43852476,1.5706119699999999,1.61373742,24.83772355,1.54928586,1.67427316,1.5756005499999999,1.52707818,23.59265427
1474,1665711,55,1.25431644,1.43835599,1.5713574399999999,1.61389949,24.81642558,1.5498405499999999,1.67517284,1.57627718,1.52719855,23.59490519
1475,1666840,55,1.25433689,1.43822342,1.57197467,1.61380587,24.8162744,1.55079334,1.67641871,1.5772791499999999,1.5275829,23.59493368
1476,1667969,55,1.2545568,1.43915576,1.57268828,1.61479957,24.81488354,1.55221151,1.67740376,1.57784485,1.5276556700000001,23.59519013
1477,1669098,55,1.25588528,1.44188707,1.57452502,1.6162504,24.81397651,1.55271269,1.67819644,1.57875869,1.52745858,23.59499067
1478,1670227,55,1.2582814199999999,1.44429855,1.57693887,1.6189164,24.81370441,1.55254157,1.67896513,1.57874532,1.5272733,23.59387942
1479,1671356,55,1.25948087,1.44571712,1.57808127,1.6196036600000001,24.81430909,1.5526407,1.67915592,1.57836255,1.52737283,23.59302466
