,BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,0.4100234789655173,0.6482034924451411,0.7563524020062696,0.7770858097492163,0.753528724200627,0.8443213869905957,0.7722187413166144,0.7447557177742947
50,50,0.25141454586206896,0.4290486931034483,0.5622946872100314,0.6042030682445141,0.5374225715360502,0.6634400614420063,0.5673843740125392,0.5256432086520376
45,45,0.112017410846395,0.236019728338558,0.3928142851097179,0.454374553322884,0.3473865039498433,0.5048440380250784,0.38580002504702193,0.32800739476489027
40,40,0.6821154097178683,0.9059526491536051,0.9673746732915359,0.9275468190909091,1.0211186342319751,1.036596238369906,1.0804633570846394,1.2017654819435737
35,35,0.7167894107943926,0.9334674771028038,0.9943880821495327,0.9626381237850469,1.0408581531308412,1.0625520487383175,1.0828024225233646,1.1640563688317758
30,30,,,,,,,,
25,25,,,,,,,,
20,20,,,,,,,,
15,15,,,,,,,,
10,10,,,,,,,,
5,5,,,,,,,,
