,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55to50,0.03172178662068966,0.043830959868338557,0.038811542959247644,0.03457654830094044,0.04322123053291536,0.03617626510971787,0.04096687346081505,0.043822501824451424
50to45,0.027879427003134793,0.03860579295297806,0.0338960804200627,0.029965702984326013,0.03800721351724139,0.031719204683385585,0.036316869793103446,0.03952716277742947
45to40,-0.11401959977429468,-0.1339865841630094,-0.1149120776363636,-0.09463445315360501,-0.13474642605642637,-0.10635044006896555,-0.1389326664075235,-0.1747516174357367
40to35,-0.0069348002153048595,-0.005502965589839736,-0.005402681771599349,-0.007018260938827558,-0.0039479037797732095,-0.005191162073682287,-0.0004678130877450393,0.007541822622359584
35to30,,,,,,,,
30to25,,,,,,,,
25to20,,,,,,,,
20to15,,,,,,,,
15to10,,,,,,,,
10to5,,,,,,,,
