,Time(ms),T1CA(v),T1CB(v),T1CC(v),T1CD(v),T1Therm(c),T2CA(v),T2CB(v),T2CC(v),T2CD(v),T2Therm(c)
0,804,2.1936574,2.2652780999999997,2.29250664,2.2754559,24.40082817,2.2864771399999997,2.2884004200000003,2.28185322,2.25142642,23.18537341
1,1933,2.0780371300000002,2.2399099099999997,2.28125684,2.2564272,24.42422248,2.2764802900000003,2.28222065,2.27074898,2.24920652,23.2081493
2,3062,2.00044633,2.2277136200000003,2.27448777,2.24522698,24.41900167,2.27082216,2.2790035,2.26595552,2.24925333,23.20417917
3,4191,1.94454041,2.22168176,2.27067109,2.23839732,24.41754839,2.2685043,2.2772238,2.263439,2.2493505000000003,23.20222234
4,5320,1.90391417,2.21869317,2.26902987,2.2342033900000002,24.41541314,2.26735048,2.27566047,2.2624386100000002,2.24945278,23.2002098
5,6449,1.8737529,2.21628011,2.26748306,2.23214123,24.41363393,2.26630918,2.27534261,2.2615570199999997,2.2496254799999997,23.19928745
6,7578,1.85132728,2.21457044,2.26574899,2.23002007,24.41277403,2.2656223200000003,2.27425252,2.26116914,2.24968921,23.19867257
7,8707,1.83502753,2.21337217,2.26543152,2.22896696,24.4110247,2.26470729,2.273522,2.26096143,2.24977497,23.19710752
8,9836,1.8229543700000002,2.2131502999999997,2.2658969,2.22893746,24.41016491,2.26449643,2.27308966,2.26153302,2.25011368,23.19649271
9,10965,1.81416366,2.2133682400000003,2.2656325500000003,2.229096,24.40859367,2.26491343,2.27385008,2.26227968,2.25004483,23.19529109
10,12094,1.80786666,2.21358736,2.26629659,2.2290059099999997,24.40782292,2.2654153900000003,2.2744421399999997,2.26285167,2.2502911,23.19534697
11,13223,1.80291229,2.2134595,2.26646024,2.2295684600000003,24.40666684,2.2653925800000003,2.27516794,2.263415,2.2502250100000003,23.19428513
12,14352,1.7994831100000002,2.2126971099999997,2.26664317,2.23037097,24.40625186,2.26551492,2.27553537,2.2634067399999998,2.25022933,23.19350276
13,15481,1.7961326,2.21169239,2.26518919,2.2293863199999997,24.4057776,2.26454639,2.27428753,2.26220847,2.24924743,23.19283217
14,16610,1.79328485,2.21070184,2.26424427,2.2280212500000003,24.40494767,2.26315458,2.2734256100000003,2.26134026,2.2494516,23.1917984
15,17739,1.79087021,2.2106027,2.26407079,2.22714792,24.40414741,2.26253145,2.27336267,2.26152948,2.24937961,23.19084849
16,18868,1.7891990899999999,2.2095016000000003,2.26323286,2.2261081899999997,24.40399922,2.2621722799999997,2.2728579499999997,2.26076237,2.24968488,23.18956339
17,19997,1.7879874500000001,2.2085645400000002,2.26240714,2.22613534,24.40385103,2.2615302699999997,2.27232805,2.2610342,2.2495232,23.18956339
18,21126,1.78738202,2.2078013700000003,2.2622961999999998,2.22625493,24.40290263,2.26139927,2.2727316699999998,2.26107944,2.2499103,23.18864152
19,22255,1.78694929,2.2080417299999997,2.26299329,2.22660701,24.40251736,2.2618619,2.2728843100000002,2.26136268,2.24993744,23.18875326
20,23384,1.7869925599999998,2.20902245,2.2631624500000003,2.22698231,24.40156902,2.262677,2.27319784,2.26214317,2.25037332,23.18866946
21,24513,1.7872057799999999,2.2096373199999997,2.2635381299999997,2.2277824600000002,24.40017623,2.26324899,2.27313136,2.26271398,2.25000117,23.18827838
22,25642,1.78728682,2.2095633599999998,2.26369077,2.2279744399999997,24.40062073,2.2628284599999997,2.2733795900000002,2.2627667000000002,2.24997678,23.1877197
23,26771,1.7871589700000001,2.2095791,2.26372657,2.2284850599999997,24.39982064,2.26259282,2.27284536,2.2617025699999997,2.2495523100000003,23.18685378
24,27900,1.78710389,2.2097636,2.26407708,2.22818412,24.39990954,2.26219077,2.27277416,2.2609464800000003,2.24986899,23.18587617
25,29029,1.78734504,2.209454,2.26391461,2.22768962,24.39925764,2.26219589,2.27278793,2.26112468,2.24962784,23.18584824
26,30158,1.78674394,2.20898193,2.26259164,2.22752912,24.39792426,2.26181666,2.27239887,2.26117976,2.24939849,23.18542928
27,31287,1.78645086,2.20842568,2.26286072,2.22732495,24.39736131,2.26132885,2.27196771,2.2604932900000003,2.24942564,23.18545721
28,32416,1.78642844,2.20857399,2.26320257,2.22742015,24.39724279,2.2614114599999997,2.27232294,2.2607726,2.2495420800000003,23.18512204
29,33545,1.78621916,2.2079599,2.2626305799999997,2.2276314,24.39709465,2.26181469,2.2723992600000003,2.2610810199999998,2.2496612799999998,23.18495446
30,34674,1.78571601,2.2077226899999998,2.26188235,2.22693589,24.39739094,2.2618851099999997,2.27286582,2.26124231,2.24975451,23.18473103
31,35803,1.7851692,2.2071872800000003,2.2613689800000003,2.22636468,24.39703539,2.26179384,2.27362074,2.26137213,2.2500055000000003,23.18389316
32,36932,1.78581514,2.20786903,2.26118723,2.22645634,24.39656135,2.2612973800000002,2.27375764,2.26145395,2.25029188,23.18305533
33,38061,1.7857624300000001,2.20801655,2.26219589,2.22628837,24.39602806,2.26142917,2.27415299,2.26188865,2.25003657,23.18288777
34,39190,1.7858466100000001,2.2085102599999997,2.26241382,2.22649214,24.39617619,2.2621718900000003,2.2745755,2.26220218,2.2499429500000003,23.18288777
35,40319,1.7860854000000002,2.20845557,2.26233711,2.22703345,24.3954059,2.26286386,2.27483828,2.2620357799999997,2.24986938,23.18297155
36,41448,1.7862411900000001,2.2085633600000003,2.2623178399999997,2.22730095,24.39448752,2.2626833,2.27411326,2.26180013,2.24969039,23.18308326
37,42577,1.7859469300000002,2.2079583300000003,2.2625463999999997,2.22685721,24.39416165,2.26245749,2.27423482,2.2620314500000003,2.24952359,23.1827202
38,43706,1.78585606,2.20826675,2.2625892800000003,2.22708341,24.39350993,2.2623803899999997,2.2751246700000003,2.26191776,2.2496612799999998,23.18280399
