,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,52.029145506496384,51.454551865584584,51.99534445989852,51.162422515746265,54.54199312571661,53.641215453340806,55.088713739682,54.10902294153757
50,50,51.052821270652174,50.80752322384959,50.96918700629538,50.979136088142845,51.238683111761524,51.16670094365915,51.37780602703822,52.62484002717347
45,45,46.68752360490816,46.75891180081572,46.65325183674219,46.89912626674252,45.86532045774191,46.16064650997406,45.62985423336326,45.883475148389024
40,40,41.26546801504953,41.50927378863305,41.28653659007057,41.58711190762826,40.08460285200833,40.49790054498996,39.75587060712314,39.5822752557129
35,35,35.54273678689605,35.8581727287256,35.60672808263971,35.87732177311066,34.41957037157473,34.82312602151801,34.114870578381,33.792940076788284
30,30,29.81978476826373,30.13615975055298,29.902062920229277,30.104853186096452,29.01340478593231,29.327734781964168,28.794033085938075,28.468607617539476
25,25,24.213232553600616,24.496758502992698,24.30370885064541,24.395007966888,23.879467278177483,24.067538990116386,23.77604392073444,23.556820495644963
20,20,18.85806704987763,19.067802587874027,18.924460377204728,18.885057500475067,19.077626583585598,19.125096703429357,19.087405632471,19.009854847468716
15,15,14.09981034353032,14.151419009211745,14.125694263198609,14.026670259769695,14.60496579744157,14.507455557503327,14.701917375265694,14.784669674281606
10,10,9.985808452895547,9.794541548544826,9.937433517156796,9.840099249820474,10.452885208407356,10.19796698059459,10.640254892750981,10.89327744258451
5,5,6.445601647829953,5.964885128733351,6.295592095918464,6.243193261953562,6.821480449862921,6.484617512909914,7.033229893142491,7.294216521301269
