,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,2.819472501297071,3.2771858338493725,2.7887857897907953,2.9442690484100424,3.0937925339330548,2.8705829328451884,3.2952855454811716,3.29774736790795
50,50,2.7876204071129704,3.243495782677824,2.7556020599163182,2.9363337894142263,2.964998880962343,2.7922805210878665,3.124090859790795,3.2265482889958155
45,45,2.6452047348535563,3.0326891549372386,2.616033978702929,2.75969258874477,2.755495382343096,2.6338712112970715,2.8589215597489543,2.9031521864435144
40,40,2.4683128592050214,2.759346428117154,2.4424859248117152,2.5297126045188283,2.530109410669456,2.45468185334728,2.587938054225942,2.600871635941423
35,35,2.281611589916318,2.4650999734728027,2.2588131067782427,2.2825111934728035,2.3092339178242676,2.2751118691631795,2.32770274209205,2.323146209874477
30,30,2.0949031174476986,2.167161215271966,2.0743364778661086,2.032596162217573,2.0984514567782426,2.101218208033473,2.082237434769875,2.067727849205021
25,25,1.9119921308786614,1.8735239566527195,1.8932977215481173,1.7853923663179916,1.8982829703347284,1.9347669646861925,1.8507433787447698,1.8321000734728035
20,20,1.737282511129707,1.590844348995816,1.7193443700000002,1.5468428753556485,1.711062696903766,1.7783705687447697,1.634443211715481,1.6139734781171549
15,15,1.5820467449790796,1.3348538044351466,1.5641625722175734,1.3365023631799162,1.5366769084937235,1.6322520323849374,1.4321282144351464,1.4112833045188282
10,10,1.4478294728033474,1.1079961120083683,1.428723207866109,1.1552476696234308,1.374790308619247,1.4958845357740587,1.244752217531381,1.2246058135564855
5,5,1.3323319808368204,0.9085902241841003,1.310953871841004,0.9995221149790794,1.2332044803765692,1.3783809940167366,1.0783499356903765,1.0519520118828454
