,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55to50,0.006370418836820146,0.006738010234309666,0.006636745974895409,0.0015870517991632305,0.025758730594142333,0.01566048235146438,0.034238937138075354,0.014239815782426923
50to45,0.02848313445188282,0.042161325548117114,0.027913616242677807,0.03532824013389124,0.0419006997238494,0.03168186195815901,0.05303386000836809,0.06467922051046023
45to40,0.035378375129706985,0.054668545364016906,0.03470961077824279,0.04599599684518836,0.04507719433472799,0.035837871589958326,0.05419670110460251,0.06045611010041831
40to35,0.037340253857740716,0.05884929092887026,0.03673456360669451,0.049440282209204954,0.044175098569037716,0.03591399683682006,0.05204706242677837,0.05554508521338919
35to30,0.03734169449372384,0.059587751640167316,0.036895325782426804,0.049983006251046104,0.04215649220920499,0.03477873222594132,0.04909306146443502,0.05108367213389116
30to25,0.03658219731380745,0.05872745172384932,0.03620775126359828,0.049440759179916284,0.04003369728870285,0.03329024866945609,0.046298811205021016,0.047125555146443524
25to20,0.03494192394979088,0.05653592153138072,0.03479067030962342,0.047709898192468625,0.037444054686192496,0.03127927918828455,0.043260033405857753,0.04362531907112972
20to15,0.03104715323012548,0.051198108912133874,0.03103635955648536,0.04206810243514645,0.034877157682008476,0.029223707271966458,0.04046299945606693,0.04053803471966533
15to10,0.026843454435146442,0.04537153848535565,0.027087872870292885,0.03625093871129707,0.032377319974895305,0.027273499322175754,0.037475199380753076,0.03733549819246855
10to5,0.023099498393305405,0.03988117756485361,0.02355386720502097,0.03114511092887029,0.02831716564853557,0.023500708351464405,0.03328045636820089,0.03453076033472802
