,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,52.222471813739986,52.19082660318118,52.239829208915395,51.36604901554679,54.414914089488015,53.50607095972775,55.31440028415514,57.2273739148325
50,50,51.18276641066764,51.089514655501226,51.07414149569573,51.10504343843869,51.31778902828195,51.27298854129925,51.27794404080047,51.13990590129698
45,45,46.703030168296024,46.785397644685055,46.657384163813695,46.92460570570894,45.92975987392054,46.23738053083626,45.5669807364221,44.76160403012332
40,40,41.14922720837617,41.29348836308695,41.16564962540501,41.474112297125366,40.090570138112525,40.4936384999694,39.685675093352884,38.75734955908324
35,35,35.340440069374644,35.45054111095657,35.40057763815915,35.67060363270745,34.386516806163705,34.7632337983477,34.045365602605735,33.227105877473086
30,30,29.636150209495298,29.639354595011174,29.71695024352531,29.91181360063854,28.996856056137574,29.29282427868836,28.755868649905917,28.143089300907004
25,25,24.10750273431974,23.966714252214825,24.188504881230404,24.284290725137375,23.890116248431745,24.063917760529296,23.77570647311836,23.445834220208067
20,20,18.887952788364498,18.56425130396211,18.955752927078816,18.94311559859255,19.120241578961913,19.16475204198102,19.12946227822431,19.105391064232666
15,15,14.185939757073657,13.612408541212735,14.21212967070509,14.136747717003628,14.641278496359782,14.548073590936108,14.753066303455189,15.055833350907827
10,10,10.038039896361376,9.178602739436199,9.996599303517161,9.893474387301557,10.463358937948382,10.226320023043696,10.678417471451635,11.305319477223213
5,5,6.546479057682429,8.228900190751972,6.392481453637329,6.290143978400756,6.748598597722029,6.430800083412804,7.017112970090123,7.831193417308847
