,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,2.2291984017573228,2.7994295682426777,2.232465606150628,1.9925082015481168,2.5289467599999993,2.2606780797907953,2.807855566317992,2.965374248117155
50,50,2.1868745746861924,2.7293049714644355,2.183324004225942,1.9831869266527193,2.3803454005020916,2.1737288969456063,2.57627623832636,2.61112173083682
45,45,2.004515628117155,2.455245954393305,1.9971278831380752,1.8338912306694564,2.1218255017154815,1.977658210962343,2.2486271906276154,2.2399445043096238
40,40,1.7784340906276148,2.10555581916318,1.7656142199999996,1.63923812041841,1.8416587289958162,1.7540150207531382,1.9112052723849375,1.8905344941004185
35,35,1.5419727799163179,1.733513800627615,1.5225775392050211,1.431977799707113,1.567975857615063,1.5308911440585773,1.5876097710878658,1.5687089434728034
30,30,1.3097652941422595,1.3634941053974896,1.2829742974895397,1.2263145125523014,1.3093776741841006,1.317890659330544,1.2841410658995813,1.2728510159832636
25,25,1.0847077740167361,1.0022961564016737,1.0499130254393305,1.025339160669456,1.0643541562343095,1.1142935394142262,0.9984194971129707,0.9995001855648534
20,20,0.8722328473221758,0.6583013993723849,0.8293172255648537,0.8345901269874476,0.8354935689121339,0.9235354857322177,0.7318554509623431,0.7469135747280334
15,15,0.6808255642259415,0.34299929284518826,0.6293415004184101,0.6629406290376568,0.6205910415481172,0.7437765948535564,0.4807731208786611,0.5112546750627616
10,10,0.5119748533472803,0.060682511757322186,0.4516284535564853,0.5114008895397489,0.4201327087447699,0.5755011482845188,0.24700260995815898,0.29299825418410036
5,5,0.36984207543933056,0.00021144502092050209,0.2996905694560669,0.38271538920502085,0.24189694949790796,0.42771557866108784,0.03694646543933054,0.09082587326359834
