,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55to50,0.008464765414226073,0.014024919355648447,0.00982832038493715,0.0018642549790794938,0.02972027189958153,0.017389836569037788,0.046315865598326414,0.07085050345606696
50to45,0.036471789313807526,0.05481180341422611,0.03723922421757338,0.029859139196652597,0.051703979757322036,0.039214137196652656,0.06552980953974892,0.07423544530543928
45to40,0.04521630749790799,0.06993802704602503,0.046302732627615126,0.03893062205020925,0.05603335454393306,0.044728638041840976,0.06748438364853557,0.06988200204184106
40to35,0.047292262142259386,0.07440840370711296,0.048607336158995686,0.041452064142259416,0.05473657427615062,0.04462477533891218,0.06471910025941434,0.06436511012552301
35to30,0.046441497154811676,0.07400393904602506,0.047920648343096284,0.041132657430962324,0.051719636686192505,0.042600096945606666,0.0606937410376569,0.05917158549790798
30to25,0.045011504025104676,0.07223958979916319,0.04661225441004184,0.04019507037656909,0.04900470358995821,0.04071942398326356,0.05714431375732212,0.054670166083682026
25to20,0.04249498533891207,0.06879895140585776,0.04411915997489537,0.03814980673640167,0.04577211746443512,0.0381516107364017,0.05331280923012553,0.050517322167364
20to15,0.03828145661924685,0.06306042130543932,0.03999514502928871,0.034329899589958156,0.04298050547280334,0.03595177817573225,0.05021646601673639,0.047131779933054375
15to10,0.033770142175732244,0.056463356217573216,0.03554260937238496,0.030307947899581578,0.04009166656066946,0.03365508931380752,0.04675410218410042,0.04365128417573224
10to5,0.028426555581589952,0.012094213347280338,0.030387576820083674,0.025737100066945618,0.03564715184937238,0.029557113924686195,0.042011228903765685,0.040434476184100406
