,BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v),,,,,,,,,,,,,,,,,,,
55,55,2.468875269,2.820236249,2.518294216,2.228892184,2.715278988,2.390268993,2.692390007,3.090469662,,,,,,,,,,,,,,,,,,,
50,50,2.250706178,2.559512323,2.290912296,2.032477562,2.453508865,2.17738562,2.445165857,2.797089958,,,,,,,,,,,,,,,,,,,
45,45,2.055041806,2.308095245,2.081117525,1.858300829,2.230565337,1.995913224,2.23400394,2.548562271,,,,,,,,,,,,,,,,,,,
40,40,1.869411254,2.067979604,1.881405632,1.692233725,2.018539829,1.823537072,2.032129156,2.311306652,,,,,,,,,,,,,,,,,,,
35,35,1.698937614,1.845722266,1.697352484,1.54030459,1.817708262,1.660714958,1.839348749,2.083539866,,,,,,,,,,,,,,,,,,,
30,30,1.531232744,1.627677054,1.515278422,1.388770003,1.623684353,1.503182874,1.652784307,1.864077713,,,,,,,,,,,,,,,,,,,
25,25,1.378661859,1.427983707,1.349859978,1.251713934,1.442198314,1.357011649,1.475873844,1.654094223,,,,,,,,,,,,,,,,,,,
20,20,1.231328936,1.235819162,1.189348645,1.118072723,1.267006084,1.215185216,1.305007582,1.452572144,,,,,,,,,,,,,,,,,,,
15,15,1.096845941,1.058549326,1.042045472,0.996260776,1.104302778,1.084560954,1.143738559,1.260237575,,,,,,,,,,,,,,,,,,,
10,10,0.970705669,0.892305932,0.903807058,0.881573554,0.94584277,0.95589135,0.987239447,1.076681924,,,,,,,,,,,,,,,,,,,
5,5,0.849070359,0.7318498,0.769410849,0.769750319,0.795363055,0.834438938,0.837349209,0.900516886,,,,,,,,,,,,,,,,,,,
,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.182736733,2.409978095,2.190553371,1.984341336,2.357649363,2.126771694,2.321448808,2.614357574,,0.286138536,0.410258154,0.327740845,0.244550847,0.357629625,0.263497299,0.370941199,0.476112088,,,,,,,,,,
,,1.88658992,2.065186421,1.87993052,1.709784272,2.000160319,1.822118665,1.991853321,2.250981818,,0.364116258,0.494325902,0.410981776,0.322693289,0.453348546,0.355266955,0.453312536,0.54610814,,,,,,,,,,
,,1.668893049,1.792862365,1.650310082,1.513891365,1.75177944,1.615768767,1.761223196,1.986799923,,0.386148757,0.515232879,0.430807442,0.344409464,0.478785897,0.380144457,0.472780744,0.561762348,,,,,,,,,,
,,1.469362792,1.539993829,1.439044102,1.334357683,1.523084763,1.426062738,1.548401508,1.743217977,,0.400048462,0.527985775,0.442361529,0.357876042,0.495455066,0.397474334,0.483727649,0.568088674,,,,,,,,,,
,,1.285440104,1.304909192,1.24353936,1.169256083,1.311373771,1.252049427,1.348778097,1.511261692,,0.41349751,0.540813075,0.453813124,0.371048507,0.506334491,0.408665531,0.490570651,0.572278174,,,,,,,,,,
,,1.112370954,1.083387698,1.059174335,1.013765319,1.109308233,1.085848753,1.156945711,1.288199296,,0.41886179,0.544289357,0.456104087,0.375004684,0.51437612,0.417334121,0.495838595,0.575878417,,,,,,,,,,
,,0.947195753,0.872103734,0.882797089,0.864129789,0.914012153,0.9251406,0.971207368,1.073840587,,0.431466106,0.555879973,0.467062889,0.387584144,0.528186161,0.431871049,0.504666476,0.580253636,,,,,,,,,,
,,0.793046062,0.674048377,0.717430878,0.724225898,0.732419027,0.776589023,0.79612731,0.869389931,,0.438282874,0.561770785,0.471917767,0.393846825,0.534587057,0.438596193,0.508880272,0.583182213,,,,,,,,,,
