,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55to50,0.05922936269868177,0.06895833489642192,0.06212457026553668,0.0549114128003767,0.07149780871563083,0.06093060587382304,0.06591909742749533,0.07267515133145004
50to45,0.043539374184557465,0.054464811062146845,0.045924087491525434,0.03917858143126178,0.04967617581544257,0.041269979623352125,0.0461260249246704,0.052836378960452055
45to40,0.03990605135446348,0.050573707252191104,0.042253195964679024,0.035906736454424014,0.04573893538475482,0.03794120579993017,0.04256433770579297,0.048716389076736144
40to35,0.03678453772839903,0.047016927504871076,0.03910094855321176,0.033020320003203096,0.04234219847023572,0.034802662064476665,0.03992468209081714,0.04639125709652179
35to30,0.03461382996798497,0.044304298751412396,0.03687300495103574,0.031098152766478336,0.040413107608286314,0.03324013490207154,0.038366477201506564,0.04461247916195861
30to25,0.03303504016007532,0.04225679279284371,0.03527544925612056,0.029927105934086606,0.03905921596233521,0.03214163053295669,0.03714766863465162,0.042871741821092255
25to20,0.030829938184557436,0.039611071463276824,0.03307324210169489,0.027980778338983093,0.036318625161958565,0.029710315374764585,0.035016011672316404,0.04089013125612051
20to15,0.02881304515183374,0.03673732207461383,0.031182422050448855,0.026545801316609153,0.033054826784013905,0.0267786732103966,0.032602172069570015,0.03871479271698797
15to10,0.029410864563797136,0.03738084872576282,0.03226517680454173,0.0278503695289652,0.02989743897304823,0.02367159909845462,0.03013687204907405,0.03688087465401015
10to5,0.023961373839924683,0.031098659870056493,0.02594001366854991,0.02188082809792844,0.02953359521280603,0.02353570195103577,0.029527445103578166,0.03557982556497176
