,BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,0.7898646825706215,0.9074806980696798,0.791599855819209,0.49223449498116756,1.091685991591337,0.9075863787947269,1.3326748007250473,1.7509395075235406
50,50,1.4123504810263654,1.4621914049340867,1.3755357473258003,1.2862585207156307,1.4845316039171375,1.410903739858757,1.4873042694915255,1.6562563045668548
45,45,1.1794247146798493,1.1802516848116762,1.1309386998305084,1.0740564805838042,1.2129744781073444,1.1819217171280605,1.2347311072787195,1.3731339268926552
40,40,0.9769877500188323,0.9270647317890773,0.9185162981073446,0.8917381080602637,0.9909221263841806,0.998763831873823,1.0261783973822978,1.1301553995386064
35,35,0.7936272301787395,0.6957002524365005,0.7262094188805269,0.7272784522483536,0.778791262342427,0.8229456729162747,0.8282420482878645,0.9004170520507997
30,30,0.6180571142615241,0.4741116679021637,0.541128998466604,0.5682892943932267,0.577372337356538,0.6569140812888054,0.6393624928410159,0.6792799016368769
25,25,0.4432012080225989,0.25423443238229754,0.35600244057438796,0.4081190129190207,0.38197907645009416,0.4948310756873823,0.4546983422316384,0.46406420245762714
20,20,0.36002795446327684,0.14029112024482107,0.268107436779661,0.3436276441148776,0.25361396929378527,0.39794801583804146,0.323668753126177,0.28479741207156306
15,15,0.15687520947269304,0.00026129963276836157,0.056459199039548026,0.15373879787193978,0.026520881591337097,0.2076826336440678,0.11819824716572505,0.05671035580979284
10,10,0.106579600667921,0.04788893896519284,0.07345726912511759,0.10419381841956724,0.07702667064910629,0.15854750019755412,0.10220729403574788,0.11403024729068673
5,5,0.9927283465380997,0.9213767996142993,0.9397367153809971,0.91547200289746,1.0009380109877704,1.0029687766415805,1.0603489381937912,1.1722309487394167
