,Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,24.17937304834792,24.059908022838663,24.235515610599553,24.389973578582694,24.18927871996792,24.084916398546948,24.33661614030778,24.43655240565123
50,50,58.29229706333644,57.83183753203255,58.14638931822496,58.307523298751946,58.55781952367141,58.78818939483014,58.281246474057376,57.982920952060304
45,45,50.28335173348329,50.43885739249403,50.255285075784236,50.17811557448369,50.1285271466436,50.114489144138155,50.036443858230456,50.025312823930875
40,40,44.10816044843292,44.33171523487792,44.149992052990626,44.054017280667296,44.00682128371921,43.91683427881283,44.070705446692315,44.1678059933187
35,35,38.49928987425536,38.70254470383243,38.577381957679535,38.49919604449497,38.472911204133105,38.35352513523313,38.63856425652914,38.78246710751702
30,30,33.28014441048512,33.43148911324045,33.37779881912624,33.337607649870016,33.27078225674485,33.15308734091466,33.48716726674708,33.63920086679223
25,25,28.36936868195672,28.460071212921164,28.46607459065386,28.467345616048437,28.348839502850833,28.245538213458268,28.565828201162535,28.701545373126947
20,20,23.728342182974377,23.75896657055024,23.81883873888993,23.84545595672419,23.60093784132611,23.504257856387405,23.80862301058454,23.958286184398982
15,15,19.366926547213634,19.327892109466816,19.431390357586235,19.482684873164175,19.1480028914407,19.07320035357099,19.295480359291677,19.426124606361313
10,10,15.209370201903239,15.13635906130544,15.209146721709642,15.247113625853318,15.108459577730628,15.108228208119478,15.108901965549983,15.136466541051156
5,5,11.124017706831015,11.027625813223425,11.004640647891767,10.994230820249875,11.50707389493554,11.656350732995714,11.271934044693506,11.066096219147948
