,BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55,55,1.257579582417962,1.3096351722821415,1.2281021726241106,1.052253821718411,1.4155747813077717,1.316810489082418,1.524088575920276,1.7771453335749914
50,50,1.4174378253515716,1.4664812301434198,1.3803311881656648,1.2916605729653887,1.4863889338071155,1.4119537878154058,1.489069247006563,1.6594198828034543
45,45,1.1819202514397238,1.1833030305872194,1.1333153443581345,1.0764506182723317,1.216663031782107,1.1861070650698446,1.2371466929262867,1.3732516026475994
40,40,0.9798673070596201,0.93054123316076,0.9213603999729189,0.8947209081103972,0.9910848912183765,0.9989574648674266,1.026130627773817,1.1294306193441106
35,35,0.7952188912058051,0.6979884724297166,0.727627236845197,0.7286845391058743,0.7801680583618522,0.82457277672868,0.8289916872505874,0.8999248411852108
30,30,0.6201628626333102,0.4768477393047684,0.5431456321423634,0.5703980523829993,0.5805785500087076,0.6605363418428474,0.6412954358944022,0.679064615352177
25,25,0.4483876417515717,0.2602747740392401,0.361315085040829,0.41354835099108805,0.38545069780766844,0.498847753598342,0.4569941789148186,0.46399815834072544
20,20,0.3360849565192401,0.11415263949927461,0.24302947892974092,0.31843224992055263,0.2341796109656649,0.37891903251012093,0.3092695533962003,0.2759759272467012
15,15,0.15891426796462865,0.00026639765941278065,0.058406091369119166,0.15575914241492228,0.0280437634773057,0.2091936107451468,0.11868823321022454,0.05593052657008636
10,10,0.356794241021009,0.2932267726989634,0.31900167919474776,0.3340332217771942,0.34544463740000003,0.40174432326758813,0.37888992664754667,0.4224356000406358
5,5,0.8748941045720208,0.7798506310143005,0.8151092268363386,0.8081115189372021,0.8613321872714336,0.8890451982713643,0.9253861742238342,1.0112681400902244
