,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
55to50,-0.0319716485867219,-0.031369211572255654,-0.030445803108310843,-0.04788135024939555,-0.01416283049986875,-0.019028659746597575,0.0070038657827426135,0.023545090154307412
50to45,0.04710351478236956,0.05663563991124008,0.04940316876150606,0.043041990938611406,0.053945180405001694,0.045169344549112235,0.05038451081605526,0.05723365603117099
45to40,0.04041058887602074,0.05055235948529189,0.04239098887704314,0.036345942032386905,0.045115628112746095,0.0374299200404836,0.042203213030493944,0.048764196660697756
40to35,0.03692968317076299,0.046510552146208674,0.03874663262554436,0.03320727380090458,0.04218336657130486,0.03487693762774933,0.03942778810464591,0.04590115563177997
35to30,0.035011205714498984,0.04422814662498964,0.03689632094056672,0.03165729734457499,0.03991790167062892,0.032807286977166526,0.037539250271237036,0.044172045166606756
30to25,0.0343550441763477,0.043314593053105664,0.036366109420306894,0.03136994027838226,0.03902557044020784,0.032337717648901074,0.03686025139591672,0.04301329140229031
25to20,0.022460537046466323,0.029224426907993095,0.023657121222217616,0.019023220214107083,0.03025421736840071,0.02398574421764421,0.02954492510372365,0.03760444621880484
20to15,0.035434137710922284,0.022777248367972368,0.036924677512124346,0.03253462150112607,0.04122716949767184,0.03394508435299483,0.03811626403719516,0.044009080135322974
15to10,-0.03957599461127607,-0.058592075007910124,-0.05211911756512572,-0.03565481587245438,-0.06348017478453886,-0.03851014250448827,-0.052040338687464424,-0.07330101469410989
10to5,-0.10361997271020236,-0.09732477166306742,-0.09922150952831817,-0.09481565943200158,-0.1031775099742867,-0.09746017500075524,-0.10929924951525752,-0.11776650800991773
